type,verb,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,date,frameRate,expName,participant,
arm,PUSH,Arm,arm,0,48,48,26,0,0,0,0,6,4.55,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PUSH,Leg,leg,0,48,48,26,0,1,1,1,1,3.005,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PUSH,,,0,48,48,26,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,GRAB,Arm,arm,0,49,49,11,0,0,0,0,7,2.229,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,GRAB,Leg,leg,0,49,49,11,0,1,1,1,1,5.051,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,GRAB,,,0,49,49,11,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,POKE,Arm,arm,0,50,50,22,0,0,0,0,7,3.708,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,POKE,Leg,leg,0,50,50,22,0,1,1,1,5,5.252,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,POKE,,,0,50,50,22,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SPRINT,Arm,arm,0,51,51,61,0,0,0,0,2,8.484,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SPRINT,Leg,leg,0,51,51,61,0,1,1,1,7,2.166,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,SPRINT,,,0,51,51,61,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLICK,Arm,arm,0,52,52,6,0,0,0,0,7,6.224,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLICK,Leg,leg,0,52,52,6,0,1,1,1,1,0.962,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CLICK,,,0,52,52,6,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SCRUB,Arm,arm,0,53,53,30,0,0,0,0,6,3.942,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SCRUB,Leg,leg,0,53,53,30,0,1,1,1,1,2.635,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SCRUB,,,0,53,53,30,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,PEDAL,Arm,arm,0,54,54,53,0,0,0,0,1,2.903,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,PEDAL,Leg,leg,0,54,54,53,0,1,1,1,7,1.246,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,PEDAL,,,0,54,54,53,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PINCH,Arm,arm,0,55,55,20,0,0,0,0,5,6.04,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PINCH,Leg,leg,0,55,55,20,0,1,1,1,1,4.1,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,PINCH,,,0,55,55,20,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,RUB,Arm,arm,0,56,56,27,0,0,0,0,7,4.499,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,RUB,Leg,leg,0,56,56,27,0,1,1,1,1,2.241,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,RUB,,,0,56,56,27,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,POLISH,Arm,arm,0,57,57,23,0,0,0,0,5,7.111,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,POLISH,Leg,leg,0,57,57,23,0,1,1,1,1,1.651,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,POLISH,,,0,57,57,23,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,RUSH,Arm,arm,0,58,58,56,0,0,0,0,1,5.636,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,RUSH,Leg,leg,0,58,58,56,0,1,1,1,4,4.989,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,RUSH,,,0,58,58,56,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SCRATCH,Arm,arm,0,59,59,29,0,0,0,0,7,2.097,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SCRATCH,Leg,leg,0,59,59,29,0,1,1,1,1,3.662,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SCRATCH,,,0,59,59,29,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,WIPE,Arm,arm,0,60,60,39,0,0,0,0,6,6.447,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,WIPE,Leg,leg,0,60,60,39,0,1,1,1,1,3.915,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,WIPE,,,0,60,60,39,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CATCH,Arm,arm,0,61,61,2,0,0,0,0,7,2.689,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CATCH,Leg,leg,0,61,61,2,0,1,1,1,1,2.568,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,CATCH,,,0,61,61,2,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SIGN,Arm,arm,0,62,62,31,0,0,0,0,7,2.966,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SIGN,Leg,leg,0,62,62,31,0,1,1,1,1,3.627,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
arm,SIGN,,,0,62,62,31,,,,,,,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
leg,STRIDE,Arm,arm,0,63,63,67,0,0,0,0,2,3.173,2018_Sep_28_1343,59.5852471633,verb_norming_L1-eng_no-translation,990,
