type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
arm,throw,chop,squeeze,scoop,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,18,18,18,space,6.32399328952,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,pinch,polish,scratch,hug,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,19,19,19,space,5.56835887957,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,blush,save,sigh,chew,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,0,0,1,,,,,space,6.99379643978,,,return,333.203953747,space,5.24975088563,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,stay,stare,bless,lick,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,1,1,3,,,,,space,8.90535906053,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,yell,print,thank,ruin,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,2,2,2,,,,,space,6.30491203754,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
training,like,wait,soothe,look,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,3,3,0,,,,,space,9.08997197118,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,knock,sign,scratch,grip,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,0,0,0,space,6.10493542782,s,7.54716855145,,,,,space,2.96795808399,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,squat,bounce,skate,skip,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,1,1,1,space,5.75275053082,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,march,run,trek,stomp,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,2,2,2,space,7.17805652071,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,grab,punch,squeeze,whip,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,3,3,3,space,5.971545647,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,pluck,click,clap,pat,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,4,4,4,space,8.68743278258,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,pinch,throw,scoop,poke,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,5,5,5,space,5.80319332618,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,sprint,pedal,wander,glide,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,6,6,6,space,4.5461345589,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,peel,gesture,fold,polish,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,7,7,7,space,8.48660116335,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,walk,trample,tramp,sneak,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,8,8,8,space,5.8359590765,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,catch,slap,stab,push,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,9,9,9,space,11.303799814,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,hop,trip,limp,step,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,10,10,10,space,5.95406457455,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,dance,tiptoe,stroll,kick,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,11,11,11,space,5.1817665666,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,jog,stand,stumble,slip,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,12,12,12,space,4.2769246999,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,brush,snatch,clean,shake,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,13,13,13,space,5.06566978774,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,flee,stride,stray,strut,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,14,14,14,space,4.57758105008,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,cycle,wade,rush,slide,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,15,15,15,space,5.78621048248,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,scrub,hug,dunk,dig,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,16,16,16,space,7.01017674674,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
leg,kneel,leap,jump,hike,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,17,17,17,space,5.11538756348,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,chop,scrape,wipe,carve,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,18,18,18,space,4.86397051561,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
arm,rub,pull,bind,wrap,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,0,19,19,19,space,5.70264594625,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
,,,,,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,2018_Oct_22_1258,60.2641084433,sheb_replication_1810,2,701,
