type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
arm,wash,clap,brush,catch,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,19,19,19,space,12.4949289532,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
,,,,,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,stare,bless,soothe,lick,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,0,0,1,,,,,space,5.75327833131,,,return,1023.23674039,space,15.2624371922,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,chew,thank,print,yell,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,1,1,0,,,,,space,6.42394180495,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,sigh,like,stay,save,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,2,2,2,,,,,space,20.1426258338,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,wait,blush,look,ruin,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,3,3,3,,,,,space,9.07372803037,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,p,1.59477695415,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,stare,bless,soothe,lick,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,0,0,0,1,,,,,space,28.9962029873,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,sigh,like,stay,save,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,0,1,1,2,,,,,space,11.2719226121,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,chew,thank,print,yell,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,0,2,2,0,,,,,space,10.5834677039,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
training,wait,blush,look,ruin,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,0,3,3,3,,,,,space,5.7362316802,,,,,,,,,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
leg,trot,skip,wobble,strut,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,1,1,1,1,0,1,0,,,,,0,0,0,0,space,18.7840159593,s,37.3666171857,,,,,space,1.4427107431,2018_Sep_28_1240,59.6774132701,sheb_replication_1810,1,990,
