type,word1,word2,word3,word4,BlockType,Effector,BlockLabel,BlockInstructions,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,FEET,feet,with foot drumming,perform a rhythmic exercise with your feet,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,soothe,blush,ruin,lick,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,0,0,1,,,,,space,11.4811354564,,,return,289.219314883,space,4.06612017215,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,stay,bless,sigh,print,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,1,1,2,,,,,space,37.7078748932,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,like,thank,save,stare,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,2,2,0,,,,,space,22.0293529551,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,yell,chew,wait,look,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,0,3,3,3,,,,,space,5.8993965853,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
,,,,,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,p,2.60011078347,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,soothe,blush,ruin,lick,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,1,0,1,0,0,0,0,1,,,,,space,7.01521214959,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,like,thank,save,stare,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,1,0,1,0,0,1,1,0,,,,,space,8.9979677212,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,yell,chew,wait,look,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,1,0,1,0,0,2,2,3,,,,,space,3.2992745738,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
training,stay,bless,sigh,print,HANDS,hands,with hand drumming,perform a rhythmic exercise with your hands,0,0,0,0,,,,,0,1,1,1,1,0,1,0,0,3,3,2,,,,,space,5.4494994625,,,,,,,,,2018_Nov_01_1632,59.9478909702,sheb_replication_1810,2,705,
