BlockType,BlockLabel,BlockInstructions,item,type,word1,word2,word3,word4,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,10,leg,mount,hop,stride,limp,0,1,1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,space,5.09870455092,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,2,arm,chop,switch,rub,dunk,0,1,1,1,0,0,0,0,,,,,0,2,2,2,,,,,,,space,7.71383720733,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,15,leg,slide,sprint,trot,crawl,0,1,1,1,0,0,0,0,,,,,0,3,3,3,,,,,,,space,4.61230959127,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,9,arm,whip,scrape,toss,throw,0,1,1,1,0,0,0,0,,,,,0,4,4,4,,,,,,,space,6.70791924098,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,14,leg,kneel,climb,wander,stamp,0,1,1,1,0,0,0,0,,,,,0,5,5,5,,,,,,,space,5.78696545983,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,11,leg,pace,dance,skip,strut,0,1,1,1,0,0,0,0,,,,,0,6,6,6,,,,,,,space,9.66046566943,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,3,arm,brush,fold,bind,lift,0,1,1,1,0,0,0,0,,,,,0,7,7,7,,,,,,,space,5.7698654688,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,13,leg,hike,tiptoe,wade,tread,0,1,1,1,0,0,0,0,,,,,0,8,8,8,,,,,,,space,6.72553603665,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,16,leg,stumble,glide,creep,stomp,0,1,1,1,0,0,0,0,,,,,0,9,9,9,,,,,,,space,7.04502364144,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,17,leg,run,flee,jog,kick,0,1,1,1,0,0,0,0,,,,,0,10,10,10,,,,,,,space,6.77617182885,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,7,arm,nip,dig,scrub,knock,0,1,1,1,0,0,0,0,,,,,0,11,11,11,,,,,,,space,10.2809836831,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,1,arm,pat,braid,pull,peel,0,1,1,1,0,0,0,0,,,,,0,12,12,12,,,,,,,space,9.35875290456,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,12,leg,walk,jump,stroll,step,0,1,1,1,0,0,0,0,,,,,0,13,13,13,,,,,,,space,8.15132458848,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,18,leg,slip,leap,stray,skate,0,1,1,1,0,0,0,0,,,,,0,14,14,14,,,,,,,space,9.87858528284,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,4,arm,grasp,grip,catch,seize,0,1,1,1,0,0,0,0,,,,,0,15,15,15,,,,,,,space,7.21186027151,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,6,arm,carve,stir,wash,bash,0,1,1,1,0,0,0,0,,,,,0,16,16,16,,,,,,,space,8.78791767634,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,5,arm,hack,stab,clean,scratch,0,1,1,1,0,0,0,0,,,,,0,17,17,17,,,,,,,space,5.85347284425,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,3,training,ruin,soothe,lick,chew,0,2,2,2,0,0,0,0,0,0,0,2,,,,,space,8.52057360574,return,136.567246834,space,1.72784269225,space,3.33757892828,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,1,training,sigh,wait,blush,bless,0,2,2,2,0,0,0,0,0,1,1,0,,,,,,,,,,,space,6.64116886355,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,2,training,stare,like,yell,thank,0,2,2,2,0,0,0,0,0,2,2,1,,,,,,,,,,,space,5.31674909332,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,4,training,stay,save,print,look,0,2,2,2,0,0,0,0,0,3,3,3,,,,,,,,,,,space,5.61831922327,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,9,arm,scrape,whip,toss,throw,0,2,2,2,0,0,0,0,,,,,0,0,0,0,,,,,,,space,4.27761655071,s,3.77321719189,space,2.09661085993,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,15,leg,trot,sprint,slide,crawl,0,2,2,2,0,0,0,0,,,,,0,1,1,1,,,,,,,space,5.04835363346,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,10,leg,limp,stride,mount,hop,0,2,2,2,0,0,0,0,,,,,0,2,2,2,,,,,,,space,7.0275799042,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,17,leg,flee,kick,jog,run,0,2,2,2,0,0,0,0,,,,,0,3,3,3,,,,,,,space,4.27683897308,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,4,arm,seize,grasp,grip,catch,0,2,2,2,0,0,0,0,,,,,0,4,4,4,,,,,,,space,7.16093802414,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,7,arm,nip,dig,scrub,knock,0,2,2,2,0,0,0,0,,,,,0,5,5,5,,,,,,,space,12.461996881,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,16,leg,creep,glide,stomp,stumble,0,2,2,2,0,0,0,0,,,,,0,6,6,6,,,,,,,space,11.8735823926,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,5,arm,clean,hack,stab,scratch,0,2,2,2,0,0,0,0,,,,,0,7,7,7,,,,,,,space,4.998077787,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,12,leg,stroll,jump,step,walk,0,2,2,2,0,0,0,0,,,,,0,8,8,8,,,,,,,space,3.68991918803,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,8,arm,wipe,grab,click,clap,0,2,2,2,0,0,0,0,,,,,0,9,9,9,,,,,,,space,18.8178662685,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,6,arm,carve,wash,bash,stir,0,2,2,2,0,0,0,0,,,,,0,10,10,10,,,,,,,space,7.17825414066,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,3,arm,fold,lift,brush,bind,0,2,2,2,0,0,0,0,,,,,0,11,11,11,,,,,,,space,8.48736140015,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,14,leg,wander,kneel,stamp,climb,0,2,2,2,0,0,0,0,,,,,0,12,12,12,,,,,,,space,7.63101728727,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,18,leg,leap,skate,stray,slip,0,2,2,2,0,0,0,0,,,,,0,13,13,13,,,,,,,space,10.8680267427,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,2,arm,rub,dunk,switch,chop,0,2,2,2,0,0,0,0,,,,,0,14,14,14,,,,,,,space,10.784047173,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,13,leg,tiptoe,hike,wade,tread,0,2,2,2,0,0,0,0,,,,,0,15,15,15,,,,,,,space,6.37327993545,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,1,arm,pull,pat,braid,peel,0,2,2,2,0,0,0,0,,,,,0,16,16,16,,,,,,,space,6.49052228483,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,11,leg,pace,strut,dance,skip,0,2,2,2,0,0,0,0,,,,,0,17,17,17,,,,,,,space,9.07333094423,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
FEET,with foot drumming,perform a simple drumming exercise with your feet,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,2,training,like,thank,stare,yell,0,3,3,0,0,0,0,0,0,0,0,1,,,,,space,9.94548145608,return,7.22868052425,space,3.87438762798,space,3.80751555649,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,1,training,sigh,blush,bless,wait,0,3,3,0,0,0,0,0,0,1,1,0,,,,,,,,,,,space,3.92486458573,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,3,training,lick,chew,soothe,ruin,0,3,3,0,0,0,0,0,0,2,2,2,,,,,,,,,,,space,6.33976230938,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,4,training,save,stay,print,look,0,3,3,0,0,0,0,0,0,3,3,3,,,,,,,,,,,space,4.51171720197,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,9,arm,throw,scrape,toss,whip,0,3,3,0,0,0,0,0,,,,,0,0,0,0,,,,,,,space,3.87455317932,s,3.13607292477,space,1.34204565345,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,16,leg,creep,stomp,glide,stumble,0,3,3,0,0,0,0,0,,,,,0,1,1,1,,,,,,,space,7.09512682457,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,5,arm,hack,scratch,stab,clean,0,3,3,0,0,0,0,0,,,,,0,2,2,2,,,,,,,space,3.33774843072,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,11,leg,dance,pace,strut,skip,0,3,3,0,0,0,0,0,,,,,0,3,3,3,,,,,,,space,4.47799648905,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,2,arm,rub,switch,dunk,chop,0,3,3,0,0,0,0,0,,,,,0,4,4,4,,,,,,,space,9.30823880642,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,12,leg,jump,walk,stroll,step,0,3,3,0,0,0,0,0,,,,,0,5,5,5,,,,,,,space,4.89760314066,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,4,arm,grasp,catch,grip,seize,0,3,3,0,0,0,0,0,,,,,0,6,6,6,,,,,,,space,4.76273806894,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,10,leg,stride,limp,hop,mount,0,3,3,0,0,0,0,0,,,,,0,7,7,7,,,,,,,space,4.89745497418,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,15,leg,trot,slide,crawl,sprint,0,3,3,0,0,0,0,0,,,,,0,8,8,8,,,,,,,space,6.89358881711,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,13,leg,tread,tiptoe,hike,wade,0,3,3,0,0,0,0,0,,,,,0,9,9,9,,,,,,,space,4.9492519964,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,3,arm,bind,brush,lift,fold,0,3,3,0,0,0,0,0,,,,,0,10,10,10,,,,,,,space,5.38343822861,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,14,leg,climb,wander,stamp,kneel,0,3,3,0,0,0,0,0,,,,,0,11,11,11,,,,,,,space,5.45076230661,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,7,arm,knock,nip,dig,scrub,0,3,3,0,0,0,0,0,,,,,0,12,12,12,,,,,,,space,9.17362700059,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,17,leg,jog,run,kick,flee,0,3,3,0,0,0,0,0,,,,,0,13,13,13,,,,,,,space,3.84090595696,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,8,arm,clap,wipe,click,grab,0,3,3,0,0,0,0,0,,,,,0,14,14,14,,,,,,,space,4.27730678401,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,6,arm,wash,bash,carve,stir,0,3,3,0,0,0,0,0,,,,,0,15,15,15,,,,,,,space,4.42787710638,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,1,arm,braid,pat,peel,pull,0,3,3,0,0,0,0,0,,,,,0,16,16,16,,,,,,,space,4.66332982607,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,18,leg,skate,leap,slip,stray,0,3,3,0,0,0,0,0,,,,,0,17,17,17,,,,,,,space,8.63814903334,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
SILENT,while you wait silently,wait silently,,,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,2018_May_31_1623,59.62707999,sheb_replic_180522,001,951,
