BlockType,BlockLabel,BlockInstructions,item,type,word1,word2,word3,word4,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,18,leg,leap,skate,slip,stray,0,1,1,1,0,0,0,0,,,,,0,17,17,17,,,,,,,space,19.1693638784,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
HANDS,with hand drumming,perform a simple drumming exercise with your hands,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
SILENT,while you wait silently,wait silently,3,training,ruin,soothe,lick,chew,0,2,2,0,0,0,0,0,0,0,0,2,,,,,space,8.72136476979,return,18.6833019419,space,2.85137539427,space,12.7295036206,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
SILENT,while you wait silently,wait silently,4,training,look,print,stay,save,0,2,2,0,0,0,0,0,0,1,1,3,,,,,,,,,,,space,4.54566571327,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
SILENT,while you wait silently,wait silently,1,training,wait,blush,sigh,bless,0,2,2,0,0,0,0,0,0,2,2,0,,,,,,,,,,,space,17.6770220791,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
SILENT,while you wait silently,wait silently,2,training,thank,stare,like,yell,0,2,2,0,0,0,0,0,0,3,3,1,,,,,,,,,,,space,24.5523596504,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
SILENT,while you wait silently,wait silently,14,leg,stamp,kneel,wander,climb,0,2,2,0,0,0,0,0,,,,,0,0,0,0,,,,,,,space,13.4171158069,s,15.5638055637,space,7.011444728,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
SILENT,while you wait silently,wait silently,18,leg,stray,skate,slip,leap,0,2,2,0,0,0,0,0,,,,,0,1,1,1,,,,,,,space,23.7147474838,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
SILENT,while you wait silently,wait silently,5,arm,stab,clean,scratch,hack,0,2,2,0,0,0,0,0,,,,,0,2,2,2,,,,,,,space,18.482327366,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
SILENT,while you wait silently,wait silently,4,arm,seize,grasp,catch,grip,0,2,2,0,0,0,0,0,,,,,0,3,3,3,,,,,,,space,22.8757702157,,,,,,2018_Jun_01_1505,59.5774876653,sheb_replic_180522,001,952,
