verb;translation_simple;translation_details;comment;score;score_comment;coder
stray;vandra iväg, strosa;;;1;;
stride;förflytta sig framåt;;;0,5;;
stride;jag vet inte;;;0;;
stride;jag vet inte;man är ute och går;;0;;
stride;jag vet inte;jag vet inte exakt, nånting som har med att ta sig fram på benen att göra;;0;;
stride;promenera, gå;kanske;;0,5;;
stride;promenera, gå, strosa;kanske;;0,5;;
stride;skrida;;;0,5;;
stride;strida;;;0;;
stroll;flanera, gå mysigt;typ;;1;;
stroll;gå;;;0,5;;
stroll;gå omkring;;;0,5;;
stroll;gå, spatsera, lunka;det är en synonym till gå;;1;;
stroll;jag vet inte;;;0;;
stroll;promenera;;;1;;
stroll;strosa;;;1;;
stroll;vandra, promenera;typ vandra… promenera kanske;;1;;
strut;gå konstigt;känns som att det är någon som går konstigt, jag vet inte hur;;0,5;;
strut;gå, spatsera;typ;;0,5;;
strut;jag vet inte;;;0;;
strut;spatsera;;;0,5;;
strut;strosa;framåt på något sätt;;0;;
strut;strutta;;;1;;
strut;strutta;osäker;;1;;
stumble;fumla;;;0;;
stumble;halta lite grann;;;1;;
stumble;jag vet inte;;;0;;
stumble;ostadig i benen;ostadigt i benen men kommer inte på den exakta översättningen;;0;;
stumble;snubbla;;;1;;
stumble;snubbla, snava;;;1;;
stumble;vackla;;;1;;
sway;jag vet inte;;;0;;
sway;svaja;;;1;;
sway;svassa;;;0;;
sway;svinga;;;0;;
sway;svinga;jag tror det betyder svinga;;0;;
sway;sväva ;eller nåt man gör när man dansar typ;;0;;
sway;sväva, flyga;;;0;;
switch;byta;;;1;;
switch;jag vet inte;;;0;;
switch;slå av/på, byta, knäppa;"""knäppa kanske""";;1;;
switch;slå på;jag är inte säker men jag gissar på slå på;;1;;
switch;stänga av, ändra;;;1;;
switch;växla;;;1;;
switch;ändra;;;1;;
throw;jag vet inte;;;0;;
throw;kasta;;;1;;
tiptoe;gå på tå;;;1;;
