original_order_appendix,word_category,word,cognate_Swe_bin,cognate_Swe_which,in_original_study_S&P,L2_norms_collected,Arm_rating_June2018,Leg_rating_June2018,arm_minus_leg_bias_June2018,bias_absol_June2018,frequency (Zipf; subtlex),DomPoS (dominant part of speech; subtlex),comment
26,arm,switch,0,,yes,yes,5.529411765,2.176470588,3.352941176,3.352941176,4.37,verb,
-99,arm,throw,0,,no,yes,7,1.058823529,5.941176471,5.941176471,4.88,verb,
-99,arm,toss,0,,no,yes,6.764705882,1.176470588,5.588235294,5.588235294,3.88,verb,
11,arm,tug,0,,yes,yes,6.176470588,2.117647059,4.058823529,4.058823529,3.51,noun,
-99,arm,twine,1,tvinna,no,yes,5.823529412,1.941176471,3.882352941,3.882352941,2.7,noun,
36,arm,wash,0,,yes,yes,6.823529412,1.235294118,5.588235294,5.588235294,4.54,verb,
25,arm,whip,0,,yes,yes,6.647058824,1,5.647058824,5.647058824,4.08,noun,
15,arm,wipe,0,,yes,yes,6.941176471,1,5.941176471,5.941176471,4,verb,
-99,arm,wrap,0,,no,yes,6.411764706,2.058823529,4.352941176,4.352941176,4.1,verb,
-99,leg,bounce,0,,no,yes,2.294117647,6.117647059,-3.823529412,3.823529412,4.3,noun,arm-related?
21,leg,creep,1,krypa,yes,yes,2.470588235,5,-2.529411765,2.529411765,3.72,verb,arm-related?
-99,leg,crouch,0,,no,no,NA,NA,NA,NA,,,AP added this after the pilot (180830); can be a noun as well
-99,leg,cycle,1,cykla,no,no,NA,NA,NA,NA,,,GMM added this after the pilot (180828): from Appendix in Kelpp et al. [2014]. Also a noun that can be devoid of any leg association
36,leg,dance,1,dansa,yes,yes,4.352941176,6.529411765,-2.176470588,2.176470588,5.12,noun,
-99,leg,dash,0,,no,no,NA,NA,NA,NA,,,"GMM added this after the pilot (180828): from Appendix in Kelpp et al. [2014]. It has also meanings that are unrelated to leg actions, like ""Strike forcefully against something"" or ""Destroy or frustrate (hopes or expectations)"""
27,leg,flee,1,fly,yes,yes,1.352941176,6.411764706,-5.058823529,5.058823529,3.48,verb,
11,leg,glide,1,glida,yes,yes,1.764705882,5.235294118,-3.470588235,3.470588235,3.35,verb,
-99,leg,grovel,0,,no,no,NA,NA,NA,NA,,,AP added this after the pilot (180830)
13,leg,hike,0,,yes,yes,1.882352941,6.647058824,-4.764705882,4.764705882,3.6,noun,
-99,leg,hobble,0,,no,no,NA,NA,NA,NA,,,"GMM added this after the pilot (180828): from Appendix in Sato et al (2008). Can also be a noun, but should keep its leg association"
1,leg,hop,1,hoppa,yes,yes,1.117647059,6.941176471,-5.823529412,5.823529412,4.31,noun,
32,leg,inch,0,,yes,yes,2.235294118,4.882352941,-2.647058824,2.647058824,4.18,noun,
9,leg,jog,1,jogga,yes,yes,1.705882353,7,-5.294117647,5.294117647,3.42,noun,
-99,leg,jump,0,,no,yes,1.352941176,7,-5.647058824,5.647058824,4.84,noun,
19,leg,kick,0,,yes,yes,1,7,-6,6,4.91,noun,
22,leg,kneel,1,knäa,yes,yes,1.352941176,6.470588235,-5.117647059,5.117647059,3.22,verb,
7,leg,leap,-99,löpa,yes,yes,1.235294118,6.588235294,-5.352941176,5.352941176,4.12,noun,
3,leg,limp,0,,yes,yes,1.411764706,6.882352941,-5.470588235,5.470588235,3.35,adjective,
-99,leg,lumber,0,,no,no,NA,NA,NA,NA,,,AP added this after the pilot (180830); can be a noun as well (with a different meaning).
-99,leg,march,1,marschera,no,yes,1.823529412,7,-5.176470588,5.176470588,4.66,name,
16,leg,mount,0,,yes,yes,4,5.235294118,-1.235294118,1.235294118,4.12,name,
23,leg,pace,0,,yes,yes,1.411764706,6.823529412,-5.411764706,5.411764706,4.6,noun,
-99,leg,pedal,0,,no,no,NA,NA,NA,NA,,,"GMM added this after the pilot (180828): from Appendix in Sato et al (2008). Can also be a noun, but should keep its leg association"
14,leg,plod,0,,yes,yes,2.235294118,5.058823529,-2.823529412,2.823529412,2.73,name,
-99,leg,prance,0,,no,yes,1.588235294,5.764705882,-4.176470588,4.176470588,3.02,name,
-99,leg,ramble,0,,no,yes,1.823529412,3.823529412,-2,2,2.74,verb,
10,leg,roam,0,,yes,yes,1.117647059,6.352941176,-5.235294118,5.235294118,3.5,verb,
