"verb","translation_simple","translation_details","comment","Score1","Score_comment1","Score2","Score_comment2","Agreed"
"lumber","vanka, halta","betyder väl vanka.. Halta..eller är det vila? Vanka tror jag""","",0,"",0,"",1
"march","marschera","","",1,"",1,"",1
"mount","bestiga","","",1,"",1,"",1
"mount","grensla","","",0,"",0,"",1
"mount","gå uppför, kliva upp på","","",1,"",1,"",1
"mount","jag vet inte","","",0,"",0,"",1
"mount","kliva på cykeln","typ, men det känns som att man kan använda det i vidare bemärkelse men jag vet inte","",0.5,"",0.5,"",1
"mount","montera","","",1,"",0,"",0
"mount","stiga, bestiga","","",1,"",1,"",1
"nip","jag vet inte","aldrig hört","",0,"",0,"",1
"nip","jag vet inte","","",0,"",0,"",1
"nip","nypa","","",1,"",1,"",1
"nip","nypa tag i ","jag vet inte jag gissar på nypa tag i","",1,"",1,"",1
"nip","nypa, knipsa","","",1,"",1,"",1
"pace","bestämma takten","","",0,"",0,"",1
"pace","gå långsamt","","",1,"",0.5,"",0
"pace","hastighet","typ men det är ju inte ett verb","",0,"",0,"",1
"pace","jag vet inte","kommer inte ihåg vad det betyder","",0,"",0,"",1
"pace","jag vet inte","","",0,"",0,"",1
"pace","skynda","osäker, men benrelaterat","",0,"",0,"",1
"pace","stega","","",0,"",1,"",0
"pace","stega upp","","",1,"",1,"",1
"pace","takt","","",-99,"noun instead of verb",0,"",0
"pace","vagga av och an, gå fram och tillbaka","""stega, kliva.. Nej vänta""","",1,"",1,"",1
"pat","daska till","jag vet inte gissar på typ daska till eller nåt","",0,"",0,"",1
"pat","ingen aning","","",0,"",0,"",1
"pat","jag vet inte","","",0,"",0,"",1
"pat","klappa","","ppt pressed wrong: 7 for hand-relatedness instead of 1",1,"",1,"",1
"pat","klappa","","",1,"",1,"",1
"pat","klappa, smeka","","",1,"",1,"",1
"pedal","cykla","","",0.5,"",1,"",0
"pedal","cykla, få pedalerna att snurra","","",1,"",1,"",1
"pedal","gasa","","",0,"",0,"",1
"pedal","jag vet inte","","",0,"",0,"",1
"pedal","paddla","","",0,"",0,"",1
"pedal","pedala","","",0,"",1,"",0
"pedal","trampa","","",1,"",0.5,"",0
"pedal","trampa på en cykel","","",1,"",1,"",1
"pedal","trampa på en pedal","jag skulle gissa att det är när man trampar på en pedal typ på en cykel","",1,"",1,"",1
"pedal","","ingen aning låter som nåt fotrelaterat","",0,"",0,"",1
"peel","jag vet inte","","",0,"",0,"",1
"peel","skala","","",1,"",1,"",1
"pinch","jag vet inte","","",0,"",0,"",1
"pinch","nypa","kanske","",1,"",1,"",1
"pinch","nypa","","",1,"",1,"",1
"pinch","nypa ","","",1,"",1,"",1
"pinch","sticka","","",0,"",0,"",1
"plod","jag vet inte","ingen aning","",0,"",0,"",1
"plod","jag vet inte","","",0,"",0,"",1
"plod","plöja, ploga","","",0,"",1,"",0
"pluck","jag vet inte","","",0,"",0,"",1
"pluck","noppa","","",1,"",0,"",0
"pluck","plocka","""alltså som plocka en höna""","",1,"",1,"",1
"pluck","plocka","kanske","",1,"",1,"",1
"pluck","plocka","osäker, men har med händerna att göra","",1,"",1,"",1
"pluck","plocka","typ men inte riktigt","",1,"",1,"",1
"pluck","plocka","","",1,"",1,"",1
"pluck","vet inte","","",0,"",0,"",1
"poke","jag vet inte","","",0,"",0,"",1
"poke","peka","","",0,"",0,"",1
"poke","peka, signalera, ge lite uppmärksamhet","","",0,"",0,"",1
"poke","peta","","",1,"",1,"",1
"poke","peta på","","",1,"",1,"",1
"poke","peta på någon","peta på någon jobbigt","",1,"",1,"",1
"poke","stöta","","",1,"",0.5,"",0
"polish","polera","","",1,"",1,"",1
"polish","polera, torka av","","",1,"",1,"",1
"polish","putsa","","",1,"",1,"",1
"prance","ingen aning","","",0,"",0,"",1
"prance","jag vet inte","","",0,"",0,"",1
"prance","svassa, gå med lite hoppiga steg, kråma sig","","",1,"",1,"",1
"prance","vanka","","",0,"",0,"",1
"pull","dra","","",1,"",1,"",1
"pull","dra ","","",1,"",1,"",1
"pull","jag vet inte","","",0,"",0,"",1
"punch","jag vet inte","","",0,"",0,"",1
"punch","slå","","",1,"",1,"",1
"punch","slå till","","",1,"",1,"",1
"punch","sparka, slå","","",1,"",1,"",1
"push","knuffa","","",1,"",1,"",1
"push","knuffa, tryck","","",1,"",1,"",1
"push","putta","""dra... Nä putta menar jag""","",1,"",1,"",1
"push","putta","","",1,"",1,"",1
"push","trycka","","",1,"",1,"",1
"ramble","driva runt","","",1,"",0,"",0
"ramble","jag vet inte","förknippar det med armar","",0,"",0,"",1
"ramble","jag vet inte","","",0,"",0,"",1
"ramble","raljera","","",0,"",0,"",1
"ramble","ramla","nånting med ramla","",0,"",0,"",1
"ramble","snubbla","jag tänker att det är benrelaterat, att snubbla typ""","",0,"",0,"",1
"ramble","svaja, rumla runt","kanske","",0,"",0,"",1
"roam","gå","jag tror att det är på något vis att gå, nån typ av gång","",0.5,"",0.5,"",1
"roam","ingen aning","","",0,"",0,"",1
"roam","jag vet inte","ingen aning","",0,"",0,"",1
"roam","jag vet inte","","",0,"",0,"",1
"roam","nå, räcka","vet inte riktigt men kanska nå eller räcka","",0,"",0,"",1
