"verb","translation_simple","translation_details","comment","score","score_comment","coder"
"roam","nå, räcka","vet inte riktigt men kanska nå eller räcka","","","",""
"row","ro","","","","",""
"row","jag vet inte","","","","",""
"rub","gnugga","","","","",""
"rub","skrubba","","","","",""
"rub","jag vet inte","","","","",""
"rub","gnida in","","","","",""
"rub","gnida","","","","",""
"rub","massera","inte helt säker men… massera","","","",""
"run","springa","","","","",""
"rush","rusa, rusha","","","","",""
"rush","skynda","","","","",""
"rush","rusa","","","","",""
"rush","springa fort","","","","",""
"saunter","vet inte","","","","",""
"saunter","jag vet inte","","","","",""
"saunter","jag vet inte","ingen aning","","","",""
"saunter","jag vet inte","osäker","","","",""
"saunter","jag vet inte","har jag aldrig hört","","","",""
"scoop","skyffla","","","","",""
"scoop","skyffla","jag tror skyffla eller nåt sånt","","","",""
"scoop","jag vet inte","","","","",""
"scoop","skopa","","","","",""
"scoop","sleva upp","sleva upp, ta från typ glass tar och sätter in i mindre skål, va heter det på svenska?? Man gör det med glass i alla fall.. Jag vet inte, jag kommer inte på vad det heter på svenska. Hälla upp skulle jag säga, men inte med vatten. Typ sleva upp men det låter för vulgärt.","","","",""
"scoop","överblicka","","","","",""
"scrape","skrapa, rispa","","","","",""
"scrape","jag vet inte","","","","",""
"scrape","skrapa","","","","",""
"scrape","skrapa","kanske","","","",""
"scratch","klia, skrapa","","","","",""
"scratch","klia, skrapa","klia, skrapa möjligen","","","",""
"scratch","jag vet inte","","","","",""
"scratch","klia","","","","",""
"scratch","klia","""riva, klösa. Nej klia""","","","",""
"scratch","skrapa","","","","",""
"scratch","repa","","","","",""
"scrub","skrubba","","","","",""
"scrub","skrubba","en städterm, typ att skrubba en gryta eller nånting som är väldigt skitigt","","","",""
"scrub","skrubba","jag kanske bara hittar på jag vet inte","","","",""
"scrub","jag vet inte","","","","",""
"scrub","klia","","","","",""
"scrub","skrapa","skrapa tror jag","","","",""
"scrub","rengöra","","","","",""
"seize","dra","jag tror att det betyder dra","","","",""
"seize","fånga","","","","",""
"seize","fånga","jag tänker typ fånga men jag vet inte","","","",""
"seize","ingen aning","","","","",""
"seize","jag vet inte","","","","",""
"seize","gripa","","","","",""
"seize","erövra","","","","",""
"seize","beslagta","","","","",""
"shake","skaka","","","","",""
"shamble","vet inte","","","","",""
"shamble","jag vet inte","","","","",""
"sign","skriva under, signera","","","","",""
"sign","signera","","","","",""
"sign","signera, skriva under","","","","",""
"skate","åka skridskor, skejta","","","","",""
"skate","jag vet inte","","","","",""
"skate","skejta","","","","",""
"skate","åka skateboard, skidor, snowboard","åka skateboard, skidor, snowboard tror jag också","","","",""
"skate","åka skridskor","","","","",""
"skate","åka skridskor, åka skateboard","","","","",""
"skim","skumma av","","","","",""
"skim","jag vet inte","","","","",""
"skim","jag vet inte","ingen aning","","","",""
"skim","jag vet inte","men tror att det varken har med armar eller ben att göra","","","",""
"skim","skumma","","","","",""
"skim","skumläsa","jag skulle gissa på skumläsa, läsa över ytligt","","","",""
"skim","sno","jag är inte säker men … sno","","","",""
"skim","ta av det översta lagret av något","","","","",""
"skip","hoppa","","","","",""
"skip","hoppa","typ","","","",""
"skip","hoppa","""ett litet hopp eeh hoppa""","","","",""
"skip","hoppa över, hoppa","","","","",""
"skip","hoppa över","","","","",""
"skip","jag vet inte","","","","",""
"skip","jag vet inte","kommer inte på vad det betyder","","","",""
"skip","skutta","","","","",""
"skip","skippa","","","","",""
"slap","slå","","","","",""
"slap","slå till","","","","",""
"slap","jag vet inte","","","","",""
"slap","örfila","","ppt pressed wrong: wants 7 on hand-related, and 1 on foot-related","","",""
"slap","örfila","","","","",""
"slap","slå med öppen hand","","","","",""
"slap","slå, lavetta","","","","",""
"slide","glida","","","","",""
"slide","glida","jag tror glida","","","",""
"slide","jag vet inte","","","","",""
"slide","skjuta något åt något håll","","","","",""
"slide","slida, halka","","","","",""
"slide","halka, glida","","","","",""
"slip","halka","","","","",""
"slip","jag vet inte","","","","",""
"slip","snubbla, halka","","","","",""
"slip","halka, slinta","","","","",""
"slip","snubbla på","","","","",""
"slip","snubbla, glida","","","","",""
"slither","halka","inte säker men jag tror det har med halka att göra","","","",""
"slither","slingra sig","","","","",""
"slither","jag vet inte","","","","",""
"slither","jag vet inte","har jag aldrig hört","","","",""
"slither","slinta","","","","",""
"snatch","fånga","","","","",""
"snatch","sno till sig","","","","",""
"snatch","jag vet inte","","","","",""
"snatch","jag vet inte","inte helt säker","","","",""
"snatch","jag vet inte","det är nåt med armar men jag vet inte vad","","","",""
"snatch","ta, stjäla","typ","","","",""
"snatch","ta nåt","","","","",""
"snatch","sno","","","","",""
"snatch","sno åt sig, ta ngt snabbt","","","","",""
"snatch","ta, sno åt sig","inte säker","","","",""
"sneak","smyga","","","","",""
"sneak","jag vet inte","","","","",""
"sneak","snoka, kika","","","","",""
"sprint","springa","","","","",""
"sprint","springa","sprint är väl ...ett ord för springa","","","",""
"sprint","sprinta","","","","",""
"sprint","jag vet inte","","","","",""
"sprint","springa snabbt, spurta","","","","",""
"sprint","rusa","","","","",""
"sprint","springa fort","","","","",""
"sprint","spurta","","","","",""
"sprint","springa snabbt","","","","",""
