verb;translation_simple;translation_details;comment;score;score_comment;coder
trek;jag vet inte;låter benrelaterat;;0;;
trek;jag vet inte;;;0;;
trek;vandra;det känns som att det betyder att vandra ungefär;;1;;
trek;vandra;;;1;;
trek;vandra, promenera;eller nåt sånt;;1;;
trip;jag vet inte;;;0;;
trip;ramla;;;1;;
trip;snubbla;;;1;;
trip;snubbla, ramla;;;1;;
trip;trilla;;;1;;
trip;trippa, gå stilla/lugnt/försiktigt;;;1;;
trot;jag vet inte;tror att det är benrelaterat;;0;;
trot;jag vet inte;;;0;;
trot;smyga, gå lite försiktigt;;;0;;
trot;strutta;kanske;;0;;
trot;trava;;;1;;
trudge;jag vet inte;"""ingen aning""";;0;;
trudge;jag vet inte;;;0;;
trudge;truga;;;0;;
trudge;trycka in, pressa in mellan;;;0;;
trudge;vet inte;;;0;;
tug;bogsera;;;-99;correct but not the meaning we were looking for;
tug;dra;;;1;;
tug;dra ;;;1;;
tug;drag;;;0;;
tug;ingen aning;;;0;;
tug;jag vet inte;aldrig hört;;0;;
tug;jag vet inte;;;0;;
tug;krama;"""typ krama kanske""";;0;;
tug;vet inte;;;0;;
twine;jag vet inte;;;0;;
twine;tvina;;;0;;
twine;tvinna;;;1;;
twine;tvinna ;twine tror jag betyder tvinna;;1;;
waddle;jag vet inte;har med gå att göra;;0;;
waddle;jag vet inte;;;0;;
waddle;vanka;;;1;;
waddle;vet inte;;;0;;
waddle;vingla;typ vingla kanske;;1;;
wade;jag vet inte;;;0;;
wade;vada;;;1;;
walk;gå;;;1;;
walk;promenera;;;1;;
walk;promenera, gå;;;1;;
wander;gå omkring lite förvirrat;;;1;;
wander;jag vet inte;;;0;;
wander;strosa;;;1;;
wander;undra;;;0;;
wander;vandra;kanske;;1;;
wander;vandra;nej skit samma det är inte det;;1;;
wander;vandra;typ;;1;;
wander;vandra;;;1;;
wander;vandra, gå omkring;;;1;;
wash;tvätta;;;1;;
whip;jag vet inte;;;0;;
whip;piska;kanske;;1;;
whip;piska;;;1;;
whip;piska, vispa;;;1;;
whip;vippa;det gör man med handen, jag kommer inte på ordet vippa;;0;;
whip;vispa;;;1;;
wipe;ingen aning;"""wimp, ingen aning""";;0;;
wipe;jag vet inte;;;0;;
wipe;piska;;;0;;
wipe;sudda;;;1;;
wipe;torka;;;1;;
wipe;torka av;;;1;;
wobble;jag vet inte;aldrig hört;;0;;
wobble;jag vet inte;;;0;;
wobble;snubbla;;;1;;
wobble;vaja;typ vaja eller om man är instabil på ngt sätt;;1;;
wobble;vanka;;;0;;
wobble;vibrera;;;0;;
wobble;vila;;;0;;
wobble;vingla;;;1;;
wrap;avsluta;;;0;;
wrap;inlinda;;;1;;
wrap;jag vet inte;;;0;;
wrap;linda;;;1;;
wrap;omfamna, slå in;typ;;1;;
wrap;slå in;;;1;;
wrap;vira in;;;1;;
wrap;vira, vira ihop;;;1;;
