"expName","date","participant","trial","verb","target","distrOne","distrTwo","w1","w2","w3","corr_answer","answer","correct","type"
"verb_norming","2018_Jun_08_1550",901,20,"stamp","stampa","kliva","skutta","kliva","stampa","skutta",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,21,"pluck","plocka","rensa","picka","rensa","plocka","picka",2,1,0,"arm"
"verb_norming","2018_Jun_08_1550",901,22,"scratch","repa","riva","klösa","repa","klösa","riva",1,3,0,"arm"
"verb_norming","2018_Jun_08_1550",901,23,"march","marschera","trava","traska","marschera","trava","traska",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,24,"scuff","hasa sig fram","dra sig fram","kasta sig fram","dra sig fram","kasta sig fram","hasa sig fram",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,25,"roll","vingla","snubbla","svassa","svassa","vingla","snubbla",2,1,0,"leg"
"verb_norming","2018_Jun_08_1550",901,26,"skate","åka skridskor","åka skidor","åka kälke","åka skridskor","åka skidor","åka kälke",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,27,"grasp","gripa","klämma","omfamna","gripa","omfamna","klämma",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,28,"tread","trampa","stampa","klampa","stampa","trampa","klampa",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,29,"stir","röra","sleva","vispa","vispa","röra","sleva",2,1,0,"arm"
"verb_norming","2018_Jun_08_1550",901,30,"push","knuffa","kasta","klämma","kasta","klämma","knuffa",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,31,"nip","nypa","peta","nudda","nypa","peta","nudda",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,32,"mount","gå uppför","ströva runt","kliva över","kliva över","gå uppför","ströva runt",2,1,0,"leg"
"verb_norming","2018_Jun_08_1550",901,33,"slither","hasa","glida","trilla","trilla","glida","hasa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,34,"trot","trava","promenera","flanera","trava","promenera","flanera",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,35,"prance","kråma sig","promenera","traska","kråma sig","traska","promenera",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,36,"creep","krypa","knäböja","klättra","krypa","knäböja","klättra",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,37,"catch","fånga","krama","omfamna","fånga","omfamna","krama",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,38,"throw","kasta","greppa","träffa","greppa","kasta","träffa",2,2,1,"arm"
