word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
CLEAN,rengöra,rensa,plocka,3,plocka,rensa,rengöra,,,0,24,24,10,,,,,,,,,,,,,,,,,,,return,2.18070382629,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
HOP,skutta,kliva,studsa,2,kliva,skutta,studsa,Arm,arm,0,25,25,32,0,0,0,0,,,,,,,,,,,,,1,6.517,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
HOP,skutta,kliva,studsa,2,kliva,skutta,studsa,Leg,leg,0,25,25,32,0,1,1,1,,,,,,,,,,,,,7,2.663,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
HOP,skutta,kliva,studsa,2,kliva,skutta,studsa,,,0,25,25,32,,,,,,,,,,,,,,,,,,,return,2.95218450716,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
CLAW,klösa,nypa,rispa,1,klösa,nypa,rispa,Arm,arm,0,26,26,9,0,0,0,0,,,,,,,,,,,,,6,11.28,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
CLAW,klösa,nypa,rispa,1,klösa,nypa,rispa,Leg,leg,0,26,26,9,0,1,1,1,,,,,,,,,,,,,1,2.478,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
CLAW,klösa,nypa,rispa,1,klösa,nypa,rispa,,,0,26,26,9,,,,,,,,,,,,,,,,,,,return,2.85151783707,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SWITCH,slå på/av,knäppa,nypa,2,knäppa,slå på/av,nypa,Arm,arm,0,27,27,93,0,0,0,0,,,,,,,,,,,,,3,13.426,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SWITCH,slå på/av,knäppa,nypa,2,knäppa,slå på/av,nypa,Leg,leg,0,27,27,93,0,1,1,1,,,,,,,,,,,,,3,7.743,,,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
SWITCH,slå på/av,knäppa,nypa,2,knäppa,slå på/av,nypa,,,0,27,27,93,,,,,,,,,,,,,,,,,,,return,3.85784671843,,,2018_Jun_14_1448,59.6487213268,verb_norming_oral_input,001,906,
