word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
TRUDGE,släpa sig fram,kasta sig fram,ta sig fram,1,släpa sig fram,kasta sig fram,ta sig fram,,,0,13,13,101,,,,,,,,,,,,,,,3,0,5.97101345056,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PLOD,lunka,pulsa,vingla,3,pulsa,vingla,lunka,Arm,arm,0,14,14,49,0,0,0,0,,,,,,,,,4,6.046,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PLOD,lunka,pulsa,vingla,3,pulsa,vingla,lunka,Leg,leg,0,14,14,49,0,1,1,1,,,,,,,,,4,1.437,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
PLOD,lunka,pulsa,vingla,3,pulsa,vingla,lunka,,,0,14,14,49,,,,,,,,,,,,,,,1,0,4.86419365775,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SLIP,halka,snava,ramla,2,ramla,halka,snava,Arm,arm,0,15,15,75,0,0,0,0,,,,,,,,,1,6.215,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SLIP,halka,snava,ramla,2,ramla,halka,snava,Leg,leg,0,15,15,75,0,1,1,1,,,,,,,,,7,10.109,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SLIP,halka,snava,ramla,2,ramla,halka,snava,,,0,15,15,75,,,,,,,,,,,,,,,1,0,12.6459059196,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STAGGER,ragla,lunka,halka,3,lunka,halka,ragla,Arm,arm,0,16,16,82,0,0,0,0,,,,,,,,,7,2.825,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STAGGER,ragla,lunka,halka,3,lunka,halka,ragla,Leg,leg,0,16,16,82,0,1,1,1,,,,,,,,,1,1.654,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STAGGER,ragla,lunka,halka,3,lunka,halka,ragla,,,0,16,16,82,,,,,,,,,,,,,,,3,1,8.18455425703,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
