word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
ROLL,vingla,snubbla,svassa,1,vingla,snubbla,svassa,Arm,arm,0,12,12,59,0,0,0,0,,,,,,,,,,,,,5,10.266,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
ROLL,vingla,snubbla,svassa,1,vingla,snubbla,svassa,Leg,leg,0,12,12,59,0,1,1,1,,,,,,,,,,,,,3,4.836,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
ROLL,vingla,snubbla,svassa,1,vingla,snubbla,svassa,,,0,12,12,59,,,,,,,,,,,,,,,,,,,1,1,26.70078565,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BOUNCE,studsa,dunka,kasta,3,dunka,kasta,studsa,Arm,arm,0,13,13,2,0,0,0,0,,,,,,,,,,,,,5,8.924,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BOUNCE,studsa,dunka,kasta,3,dunka,kasta,studsa,Leg,leg,0,13,13,2,0,1,1,1,,,,,,,,,,,,,5,4.534,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
BOUNCE,studsa,dunka,kasta,3,dunka,kasta,studsa,,,0,13,13,2,,,,,,,,,,,,,,,,,,,3,1,3.47249118692,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
CLAP,klappa,knäppa,klämma,2,klämma,klappa,knäppa,Arm,arm,0,14,14,8,0,0,0,0,,,,,,,,,,,,,7,4.144,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
CLAP,klappa,knäppa,klämma,2,klämma,klappa,knäppa,Leg,leg,0,14,14,8,0,1,1,1,,,,,,,,,,,,,1,3.258,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
CLAP,klappa,knäppa,klämma,2,klämma,klappa,knäppa,,,0,14,14,8,,,,,,,,,,,,,,,,,,,2,1,2.88486576701,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STOMP,stampa,stiga,kliva,2,kliva,stampa,stiga,Arm,arm,0,15,15,86,0,0,0,0,,,,,,,,,,,,,1,6.071,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
