item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,arm,pull,twine,scratch,snatch,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,2,2,2,,,,,space,5.28251085463,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,dig,toss,chop,squeeze,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,3,3,3,,,,,space,8.3677358712,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,slide,stamp,stray,trot,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,4,4,4,,,,,space,8.72119171203,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skip,stumble,slip,stride,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,5,5,5,,,,,space,6.00408147622,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,slither,rush,hike,limp,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,6,6,6,,,,,space,12.8976948154,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,scrub,clap,slap,whip,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,7,7,7,,,,,space,11.053403726,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skate,tread,run,scuff,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,8,8,8,,,,,space,15.2949520476,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,flee,kick,climb,flit,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,9,9,9,,,,,space,6.08718120134,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,glide,trudge,inch,march,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,10,10,10,,,,,space,9.37460207582,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,carve,grab,braid,poke,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,11,11,11,,,,,space,6.42361732585,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,grate,nip,shake,grip,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,12,12,12,,,,,space,7.71488814266,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,throw,brush,pinch,cut,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,13,13,13,,,,,space,6.69187383221,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,strut,trek,wander,jump,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,14,14,14,,,,,space,8.90540181205,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,punch,bind,claw,polish,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,15,15,15,,,,,space,10.5338065159,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,fold,hack,push,catch,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,16,16,16,,,,,space,9.61008152284,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,scoop,wrap,pat,wipe,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,17,17,17,,,,,space,6.87639646346,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,plod,stagger,wade,stomp,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,18,18,18,,,,,space,6.37343373844,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,scrape,tug,click,bash,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,19,19,19,,,,,space,10.6163633612,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,knock,file,dunk,stir,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,20,20,20,,,,,space,7.12802204076,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,kneel,dance,mount,pace,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,21,21,21,,,,,space,10.0796832174,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,rub,peel,stab,clean,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,22,22,22,,,,,space,8.50261977039,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,switch,clutch,delve,wash,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,23,23,23,,,,,space,9.79367011636,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,crawl,tiptoe,ramble,creep,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,24,24,24,,,,,space,7.2954076083,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,wobble,roam,roll,sway,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,25,25,25,,,,,space,12.6624303077,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,grasp,skim,lift,seize,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,26,26,26,,,,,space,9.81170170691,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,trip,bounce,prance,stroll,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,27,27,27,,,,,space,11.5891032092,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,,,,,,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,sneak,stride,sway,wander,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,0,0,0,,,,,space,8.97320923749,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skate,slip,limp,climb,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,1,1,1,,,,,space,17.5596253102,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,prance,stray,jump,mount,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,2,2,2,,,,,space,7.27903429033,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
