item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
,leg,leap,hike,stride,limp,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,21,21,21,,,space,5.95380182902,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,file,stab,clap,pull,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,22,22,22,,,space,5.9204288007,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,skip,stray,trek,jump,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,23,23,23,,,space,6.52395528032,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,cut,peel,fold,click,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,24,24,24,,,space,7.01048492947,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,ramble,wade,flit,flee,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,25,25,25,,,space,7.11012633121,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,sway,kick,trot,pace,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,26,26,26,,,space,5.2832704983,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,grasp,twine,scrape,wash,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,0,27,27,27,,,space,4.99805963415,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,0.35,0.4,0.75,2,0,2,0,,,,,0,0,0,4,,,,,,,,,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,grab,dunk,lift,file,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,0,0,0,,,space,3.97549196631,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,fold,clutch,whip,twine,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,1,1,1,,,space,5.6186171604,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,nip,throw,pinch,rub,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,2,2,2,,,space,3.4549349932,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,wander,step,stride,limp,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,3,3,3,,,space,4.42821318026,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,plod,slide,scuff,prance,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,4,4,4,,,space,8.31874074958,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,scrub,pat,tug,wrap,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,5,5,5,,,space,5.55247206008,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,stomp,kick,climb,sway,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,6,6,6,,,space,8.41948568254,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,dance,strut,inch,walk,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,7,7,7,,,space,4.39409498192,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,tread,leap,traipse,slither,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,8,8,8,,,space,10.1632463652,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,grip,grasp,bind,seize,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,9,9,9,,,space,4.9144547971,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,clean,toss,catch,peel,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,10,10,10,,,space,27.4208444523,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,skate,bounce,slip,run,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,11,11,11,,,space,8.3854852258,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,stir,cut,shake,hack,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,12,12,12,,,space,7.56410437754,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,scratch,dig,switch,squeeze,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,13,13,13,,,space,9.81065095304,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,push,wash,knock,click,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,14,14,14,,,space,6.35676575663,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,hop,pace,roll,trip,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,15,15,15,,,space,6.34010531947,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,stamp,stagger,sprint,mount,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,16,16,16,,,space,7.74855173874,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,bash,polish,skim,wipe,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,17,17,17,,,space,6.94334337166,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,carve,clap,punch,snatch,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,18,18,18,,,space,11.4381165136,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,delve,claw,scoop,scrape,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,19,19,19,,,space,4.66249882456,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,sneak,hike,skip,rush,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,20,20,20,,,space,6.22215746873,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,stab,poke,chop,grate,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,21,21,21,,,space,10.1634154706,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,kneel,wobble,flee,stroll,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,22,22,22,,,space,9.14118917441,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,trek,trudge,wade,stray,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,23,23,23,,,space,14.0884705682,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,brush,slap,pull,braid,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,24,24,24,,,space,7.96646221245,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,flit,ramble,creep,stumble,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,25,25,25,,,space,9.17390000498,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,jump,roam,march,glide,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,26,26,26,,,space,5.16565295622,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,crawl,jog,trot,tiptoe,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,0,27,27,27,,,space,6.70865946046,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,0.2,0.4,0.6,2,0,2,0,,,,,0,1,1,1,,,,,,,,,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,whip,hack,slap,wrap,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,0,0,0,,,space,9.25848510016,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,strut,trip,roll,sway,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,1,1,1,,,space,5.75279754845,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,fold,stab,dig,squeeze,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,2,2,2,,,space,3.22051975412,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,cut,polish,switch,brush,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,3,3,3,,,space,13.8523358275,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,throw,grip,carve,grasp,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,4,4,4,,,space,10.4481940887,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,tread,skate,sprint,pace,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,5,5,5,,,space,10.4653796219,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,slither,plod,run,stroll,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,6,6,6,,,space,8.33562876783,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,chop,pat,scoop,twine,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,7,7,7,,,space,4.99828089354,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,skip,leap,wander,tiptoe,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,8,8,8,,,space,4.19298125696,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,wade,sneak,trot,climb,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,9,9,9,,,space,6.42333994214,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,scrape,nip,tug,delve,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,10,10,10,,,space,10.5656192142,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,bash,clutch,grab,scrub,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,11,11,11,,,space,9.49256805504,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,traipse,hop,mount,prance,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,12,12,12,,,space,7.59755642707,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,stomp,limp,walk,dance,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,13,13,13,,,space,4.7964769183,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,lift,snatch,shake,claw,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,14,14,14,,,space,11.0354639296,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,stride,wobble,scuff,trek,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,15,15,15,,,space,7.58138236547,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,catch,knock,pull,toss,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,16,16,16,,,space,3.5554539255,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,poke,click,grate,bind,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,17,17,17,,,space,4.81334715678,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,inch,stagger,slip,stray,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,18,18,18,,,space,8.10062205498,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,march,crawl,creep,kneel,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,19,19,19,,,space,24.2006921468,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,ramble,bounce,step,roam,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,20,20,20,,,space,5.55143095561,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,scratch,stir,skim,push,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,21,21,21,,,space,6.50791832051,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,glide,trudge,jump,rush,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,22,22,22,,,space,11.9062014266,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,hike,stumble,stamp,flee,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,23,23,23,,,space,10.3485605891,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,kick,flit,slide,jog,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,24,24,24,,,space,7.21190525673,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,wash,clean,pinch,wipe,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,25,25,25,,,space,6.27266348106,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,rub,peel,braid,dunk,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,26,26,26,,,space,5.4172201444,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,seize,clap,file,punch,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,0,27,27,27,,,space,14.8760504882,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,0.1,0.4,0.5,2,0,2,0,,,,,0,2,2,0,,,,,,,,,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,grip,pat,chop,scoop,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,0,0,0,,,space,8.40239695041,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,toss,whip,bind,scrape,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,1,1,1,,,space,3.17005325239,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,flee,kick,creep,slither,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,2,2,2,,,space,5.83712898553,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,nip,stab,clutch,dunk,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,3,3,3,,,space,3.65699341674,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,inch,kneel,hike,trip,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,4,4,4,,,space,5.85278032182,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,peel,delve,clap,scrub,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,5,5,5,,,space,10.2307123051,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,run,climb,roll,skate,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,6,6,6,,,space,5.21509613325,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,tiptoe,prance,bounce,tread,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,7,7,7,,,space,14.808933427,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,switch,click,file,knock,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,8,8,8,,,space,3.84080070613,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
