word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
SWITCH,slå på/av,knäppa,nypa,3,knäppa,nypa,slå på/av,Arm,arm,0,29,29,93,0,0,0,0,,,,,,,,,,,6,5.812,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SWITCH,slå på/av,knäppa,nypa,3,knäppa,nypa,slå på/av,Leg,leg,0,29,29,93,0,1,1,1,,,,,,,,,,,1,2.56,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SWITCH,slå på/av,knäppa,nypa,3,knäppa,nypa,slå på/av,,,0,29,29,93,,,,,,,,,,,,,,,,,3,1,2.31465590475,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,1,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,Arm,arm,0,30,30,33,0,0,0,0,,,,,,,,,,,4,7.909,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,1,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,Leg,leg,0,30,30,33,0,1,1,1,,,,,,,,,,,4,1.472,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,1,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,,,0,30,30,33,,,,,,,,,,,,,,,,,3,0,3.57258569883,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRUB,skrubba,sopa,skrapa,2,skrapa,skrubba,sopa,Arm,arm,0,31,31,66,0,0,0,0,,,,,,,,,,,6,6.38,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRUB,skrubba,sopa,skrapa,2,skrapa,skrubba,sopa,Leg,leg,0,31,31,66,0,1,1,1,,,,,,,,,,,1,1.94,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRUB,skrubba,sopa,skrapa,2,skrapa,skrubba,sopa,,,0,31,31,66,,,,,,,,,,,,,,,,,2,1,1.79506997121,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRATCH,repa,riva,klösa,3,riva,klösa,repa,Arm,arm,0,32,32,65,0,0,0,0,,,,,,,,,,,7,2.491,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRATCH,repa,riva,klösa,3,riva,klösa,repa,Leg,leg,0,32,32,65,0,1,1,1,,,,,,,,,,,1,1.654,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRATCH,repa,riva,klösa,3,riva,klösa,repa,,,0,32,32,65,,,,,,,,,,,,,,,,,3,1,2.96882450419,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,Arm,arm,0,33,33,46,0,0,0,0,,,,,,,,,,,7,2.172,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,Leg,leg,0,33,33,46,0,1,1,1,,,,,,,,,,,1,1.657,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,,,0,33,33,46,,,,,,,,,,,,,,,,,2,1,2.1972003613,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAB,sticka,hacka,skära,2,hacka,sticka,skära,Arm,arm,0,34,34,81,0,0,0,0,,,,,,,,,,,7,2.692,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAB,sticka,hacka,skära,2,hacka,sticka,skära,Leg,leg,0,34,34,81,0,1,1,1,,,,,,,,,,,1,1.604,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAB,sticka,hacka,skära,2,hacka,sticka,skära,,,0,34,34,81,,,,,,,,,,,,,,,,,2,1,2.29812303776,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
TUG,rycka,pressa,slå,3,pressa,slå,rycka,Arm,arm,0,35,35,102,0,0,0,0,,,,,,,,,,,7,3.598,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
