item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
,leg,flee,inch,roam,trudge,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,space,7.01054905752,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,slither,skip,roll,pace,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,1,1,1,,,,,space,4.62905753877,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,bash,twine,skim,squeeze,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,2,2,2,,,,,space,11.0692431301,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,wash,click,slap,lift,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,3,3,3,,,,,space,13.6186764032,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,sprint,stray,sneak,march,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,4,4,4,,,,,space,9.40889994496,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,glide,jump,tiptoe,flit,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,5,5,5,,,,,space,7.32928358154,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,stir,wrap,scoop,chop,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,6,6,6,,,,,space,10.0963919687,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,grip,dig,tug,carve,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,7,7,7,,,,,space,7.28009745007,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,slip,wobble,stagger,stomp,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,8,8,8,,,,,space,27.5887487519,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,step,kneel,leap,rush,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,9,9,9,,,,,space,9.35850635555,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,polish,nip,shake,clutch,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,10,10,10,,,,,space,11.3043382747,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,creep,kick,stamp,stroll,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,11,11,11,,,,,space,8.55338516921,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,trek,stumble,mount,crawl,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,12,12,12,,,,,space,5.13228223381,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,throw,rub,cut,seize,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,13,13,13,,,,,space,3.06981604046,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,limp,scuff,tread,bounce,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,14,14,14,,,,,space,12.6800983193,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,ramble,run,trip,prance,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,15,15,15,,,,,space,4.05903979435,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,fold,brush,clean,hack,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,16,16,16,,,,,space,3.47187148475,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,skate,dance,walk,slide,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,17,17,17,,,,,space,5.28308567143,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,pat,stab,wipe,knock,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,18,18,18,,,,,space,3.45598448322,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,push,poke,file,toss,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,19,19,19,,,,,space,11.2368826249,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,wander,traipse,trot,plod,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,20,20,20,,,,,space,8.41894247071,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,grasp,catch,delve,braid,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,21,21,21,,,,,space,9.22457769593,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,punch,scrape,dunk,switch,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,22,22,22,,,,,space,18.6165416208,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,grate,pull,pinch,grab,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,23,23,23,,,,,space,3.52148789164,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,wade,strut,hop,climb,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,24,24,24,,,,,space,12.6796810825,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,bind,scrub,peel,clap,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,25,25,25,,,,,space,8.77156800031,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,hike,stride,sway,jog,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,26,26,26,,,,,space,4.00853438865,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,scratch,claw,snatch,whip,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,27,27,27,,,,,space,4.67943216287,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,,,,,,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,chop,cut,claw,clap,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,0,0,0,,,,,space,4.7969040715,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,prance,hop,creep,wade,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,1,1,1,,,,,space,16.8554365439,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,bash,twine,peel,nip,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,2,2,2,,,,,space,7.29530604673,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,flit,skip,stomp,slide,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,3,3,3,,,,,space,9.15767204004,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,tiptoe,hike,flee,stray,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,4,4,4,,,,,space,6.54159230356,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,pinch,tug,punch,clean,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,5,5,5,,,,,space,9.60993932287,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,wipe,catch,poke,grate,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,6,6,6,,,,,space,10.5493190862,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,toss,shake,throw,squeeze,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,7,7,7,,,,,space,3.84085775347,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,crawl,trip,mount,glide,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,8,8,8,,,,,space,8.3858231161,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,stumble,slip,run,slither,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,9,9,9,,,,,space,7.74857770067,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,scratch,knock,skim,bind,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,10,10,10,,,,,space,9.82811938819,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,fold,wash,scrape,scrub,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,11,11,11,,,,,space,3.20359534828,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,traipse,step,strut,tread,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,12,12,12,,,,,space,7.24562523682,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,push,snatch,whip,seize,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,13,13,13,,,,,space,5.97083886324,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,slap,brush,stab,grab,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,14,14,14,,,,,space,10.2476146186,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,trot,wobble,walk,skate,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,15,15,15,,,,,space,6.79252427066,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,stamp,dance,march,roll,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,16,16,16,,,,,space,3.28692851699,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,wrap,rub,grip,delve,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,17,17,17,,,,,space,11.1029997981,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,sneak,bounce,ramble,kick,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,18,18,18,,,,,space,5.58509318881,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,lift,grasp,dig,clutch,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,19,19,19,,,,,space,5.78618274576,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,scoop,braid,pat,carve,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,20,20,20,,,,,space,3.0864422939,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,rush,trek,scuff,trudge,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,21,21,21,,,,,space,4.19274363605,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,inch,plod,stagger,sway,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,22,22,22,,,,,space,9.4595072892,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,click,stir,pull,hack,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,23,23,23,,,,,space,4.17566458588,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,climb,jog,pace,wander,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,24,24,24,,,,,space,6.45793790995,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,kneel,roam,jump,stride,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,25,25,25,,,,,space,4.17680685059,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,stroll,sprint,limp,leap,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,26,26,26,,,,,space,9.09024365284,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,file,polish,switch,dunk,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,0,27,27,27,,,,,space,4.86439962749,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,,,,,,0.3,0.4,0.7,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,walk,trudge,prance,hop,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,0,0,0,,,,,space,3.8072583395,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,climb,roam,dance,trek,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,1,1,1,,,,,space,4.21027627317,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,claw,push,wash,pinch,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,2,2,2,,,,,space,6.37351700181,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,squeeze,rub,poke,stir,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,3,3,3,,,,,space,11.8406364915,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,flee,stagger,jog,stray,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,4,4,4,,,,,space,4.98127136314,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,creep,skate,crawl,mount,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,5,5,5,,,,,space,4.31037556446,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,nip,polish,shake,bash,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,6,6,6,,,,,space,3.5216506772,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,delve,cut,hack,clap,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,7,7,7,,,,,space,8.15176395145,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,jump,stamp,tiptoe,tread,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,8,8,8,,,,,space,9.03990616914,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,pace,plod,slip,wander,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,9,9,9,,,,,space,4.84841147765,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,wade,hike,kneel,march,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,10,10,10,,,,,space,7.33000979479,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,clutch,wrap,grab,lift,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,11,11,11,,,,,space,11.2376447932,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,glide,roll,rush,slide,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,12,12,12,,,,,space,3.08604915887,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,ramble,flit,trot,stomp,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,13,13,13,,,,,space,3.22023464037,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,file,grasp,pull,tug,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,14,14,14,,,,,space,12.9474941494,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,traipse,run,stroll,leap,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,15,15,15,,,,,space,8.75482479414,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,toss,whip,seize,scrub,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,16,16,16,,,,,space,4.27721788413,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,bind,scratch,grip,brush,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,17,17,17,,,,,space,14.3227911244,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,throw,wipe,scoop,scrape,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,18,18,18,,,,,space,6.77590749987,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,limp,slither,stride,wobble,0.1,0.4,0.5,0,0,0,0,,,,,0,3,3,0,0,19,19,19,,,,,space,8.80445582012,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
