item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,leg,glide,sway,plod,bounce,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,6,6,6,,,,,space,5.95339196511,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,crawl,climb,kick,strut,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,7,7,7,,,,,space,6.32260542242,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,clutch,slap,rub,grip,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,8,8,8,,,,,space,7.61410378844,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,leap,hike,slip,inch,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,9,9,9,,,,,space,7.01147480162,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,skate,rush,stray,stumble,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,10,10,10,,,,,space,5.65250063514,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,wipe,carve,stab,seize,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,11,11,11,,,,,space,7.56364698134,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,trip,slither,trek,skip,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,12,12,12,,,,,space,13.4004568269,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,wrap,delve,toss,grate,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,13,13,13,,,,,space,4.19312768354,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,walk,stomp,step,slide,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,14,14,14,,,,,space,4.61208635379,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,throw,bash,click,punch,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,15,15,15,,,,,space,4.96480670993,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,tiptoe,ramble,dance,wobble,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,16,16,16,,,,,space,9.87847860298,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,run,mount,creep,jump,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,17,17,17,,,,,space,5.87015006695,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,dig,scrub,grasp,clean,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,18,18,18,,,,,space,6.67526295597,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,chop,scratch,stir,poke,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,19,19,19,,,,,space,6.07141900411,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,push,fold,catch,shake,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,20,20,20,,,,,space,6.80986844003,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,roll,prance,sprint,jog,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,21,21,21,,,,,space,5.13275992251,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,bind,claw,switch,snatch,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,22,22,22,,,,,space,6.02117753227,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,flit,tread,stagger,wade,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,23,23,23,,,,,space,10.0625219039,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,stroll,trudge,hop,traipse,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,24,24,24,,,,,space,9.25911865843,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,file,scoop,pull,twine,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,25,25,25,,,,,space,5.65303047844,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,knock,polish,hack,squeeze,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,26,26,26,,,,,space,4.67935432609,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,flee,pace,stride,limp,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,0,27,27,27,,,,,space,4.81348528233,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,,,,,,0.3,0.4,0.7,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,grab,shake,slap,grasp,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,0,0,0,,,,,space,5.53500027855,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,jog,tread,wade,leap,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,1,1,1,,,,,space,6.5576887137,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,stumble,ramble,pace,scuff,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,2,2,2,,,,,space,4.54566470837,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,skim,snatch,catch,nip,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,3,3,3,,,,,space,7.34568778282,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,bash,brush,hack,scrub,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,4,4,4,,,,,space,4.82985352855,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,push,stir,grate,whip,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,5,5,5,,,,,space,4.83026918489,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,rush,bounce,walk,wobble,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,6,6,6,,,,,space,4.42734252176,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,carve,toss,clean,throw,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,7,7,7,,,,,space,6.23918295872,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,slither,kneel,stagger,strut,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,8,8,8,,,,,space,5.58557166773,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,pinch,scrape,lift,clutch,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,9,9,9,,,,,space,8.01685383714,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,stab,squeeze,pull,grip,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,10,10,10,,,,,space,5.38428257993,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,stroll,slip,flee,trip,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,11,11,11,,,,,space,4.74615843855,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,glide,stride,slide,jump,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,12,12,12,,,,,space,6.10439137758,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,leg,stomp,traipse,plod,skip,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,13,13,13,,,,,space,10.8176145831,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,delve,peel,dig,seize,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,14,14,14,,,,,space,5.93731254472,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
,arm,twine,tug,wipe,punch,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,15,15,15,,,,,space,5.50201842242,,,,,2018_Jun_14_1350,59.6147205628,sheb_replic_pilot_control,001,906,
