word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
WIPE,torka,putsa,gnugga,2,putsa,torka,gnugga,,,0,10,10,109,,,,,,,,,,,,,,,,,,,2,1,5.38384644167,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
LIMP,halta,hasa,halka,3,hasa,halka,halta,Leg,leg,0,11,11,41,0,0,0,0,,,,,,,,,,,,,7,3.918,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
LIMP,halta,hasa,halka,3,hasa,halka,halta,Arm,arm,0,11,11,41,0,1,1,1,,,,,,,,,,,,,1,1.438,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
LIMP,halta,hasa,halka,3,hasa,halka,halta,,,0,11,11,41,,,,,,,,,,,,,,,,,,,3,1,2.88491975533,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WRAP,slå in,slå ihop,slå till,3,slå ihop,slå till,slå in,Leg,leg,0,12,12,111,0,0,0,0,,,,,,,,,,,,,1,2.929,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WRAP,slå in,slå ihop,slå till,3,slå ihop,slå till,slå in,Arm,arm,0,12,12,111,0,1,1,1,,,,,,,,,,,,,7,2.277,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WRAP,slå in,slå ihop,slå till,3,slå ihop,slå till,slå in,,,0,12,12,111,,,,,,,,,,,,,,,,,,,3,1,5.23296655363,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PULL,dra,slänga,släpa,3,släpa,slänga,dra,Leg,leg,0,13,13,54,0,0,0,0,,,,,,,,,,,,,1,6.131,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PULL,dra,slänga,släpa,3,släpa,slänga,dra,Arm,arm,0,13,13,54,0,1,1,1,,,,,,,,,,,,,7,2.998,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PULL,dra,slänga,släpa,3,släpa,slänga,dra,,,0,13,13,54,,,,,,,,,,,,,,,,,,,3,1,2.43212836934,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
HOP,skutta,kliva,studsa,2,kliva,skutta,studsa,Leg,leg,0,14,14,32,0,0,0,0,,,,,,,,,,,,,7,3.665,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
HOP,skutta,kliva,studsa,2,kliva,skutta,studsa,Arm,arm,0,14,14,32,0,1,1,1,,,,,,,,,,,,,1,0.767,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
HOP,skutta,kliva,studsa,2,kliva,skutta,studsa,,,0,14,14,32,,,,,,,,,,,,,,,,,,,3,0,4.0254726788,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PACE,gå fram och tillbaka,luffa runt,rusa fram,1,gå fram och tillbaka,luffa runt,rusa fram,Leg,leg,0,15,15,45,0,0,0,0,,,,,,,,,,,,,7,3.599,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PACE,gå fram och tillbaka,luffa runt,rusa fram,1,gå fram och tillbaka,luffa runt,rusa fram,Arm,arm,0,15,15,45,0,1,1,1,,,,,,,,,,,,,1,1.17,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
