word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,Leg,leg,0,17,17,11,0,1,1,1,,,,,,,,,,,,,1,1.186,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
CLICK,klicka,klappa,klämma,2,klämma,klicka,klappa,,,0,17,17,11,,,,,,,,,,,,,,,,,,,return,2.33155521805,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRASP,gripa,klämma,omfamna,3,klämma,omfamna,gripa,Arm,arm,0,18,18,27,0,0,0,0,,,,,,,,,,,,,7,6.5,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRASP,gripa,klämma,omfamna,3,klämma,omfamna,gripa,Leg,leg,0,18,18,27,0,1,1,1,,,,,,,,,,,,,3,0.582,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
GRASP,gripa,klämma,omfamna,3,klämma,omfamna,gripa,,,0,18,18,27,,,,,,,,,,,,,,,,,,,return,3.38806427766,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
WANDER,vandra,marschera,spatsera,1,vandra,marschera,spatsera,Arm,arm,0,19,19,106,0,0,0,0,,,,,,,,,,,,,1,10.171,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
WANDER,vandra,marschera,spatsera,1,vandra,marschera,spatsera,Leg,leg,0,19,19,106,0,1,1,1,,,,,,,,,,,,,7,1.555,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
WANDER,vandra,marschera,spatsera,1,vandra,marschera,spatsera,,,0,19,19,106,,,,,,,,,,,,,,,,,,,return,1.69428639048,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SCRUB,skrubba,sopa,skrapa,2,sopa,skrubba,skrapa,Arm,arm,0,20,20,66,0,0,0,0,,,,,,,,,,,,,7,5.04,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SCRUB,skrubba,sopa,skrapa,2,sopa,skrubba,skrapa,Leg,leg,0,20,20,66,0,1,1,1,,,,,,,,,,,,,1,1.957,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SCRUB,skrubba,sopa,skrapa,2,sopa,skrubba,skrapa,,,0,20,20,66,,,,,,,,,,,,,,,,,,,return,1.62698062433,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,luffa runt,rusa fram,gå fram och tillbaka,Arm,arm,0,21,21,45,0,0,0,0,,,,,,,,,,,,,3,7.053,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,luffa runt,rusa fram,gå fram och tillbaka,Leg,leg,0,21,21,45,0,1,1,1,,,,,,,,,,,,,7,3.853,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,luffa runt,rusa fram,gå fram och tillbaka,,,0,21,21,45,,,,,,,,,,,,,,,,,,,return,3.28745490342,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,Arm,arm,0,22,22,4,0,0,0,0,,,,,,,,,,,,,7,5.645,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,Leg,leg,0,22,22,4,0,1,1,1,,,,,,,,,,,,,1,1.924,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,,,0,22,22,4,,,,,,,,,,,,,,,,,,,return,2.0462481188,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
SLITHER,hasa,glida,trilla,1,hasa,glida,trilla,Arm,arm,0,23,23,76,0,0,0,0,,,,,,,,,,,,,3,8.912,,,2018_Jun_26_1723,59.6338733696,verb_norming_oral_input,001,916,
