word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
SKYNDA,Arm,arm,0,38,38,138,0,0,0,0,,,,,,,,,,,1,5.39,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKYNDA,Ben,ben,0,38,38,138,0,1,1,1,,,,,,,,,,,6,2.106,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKYNDA,,,0,38,38,138,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KRAMA,Arm,arm,0,39,39,41,0,0,0,0,,,,,,,,,,,7,2.522,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KRAMA,Ben,ben,0,39,39,41,0,1,1,1,,,,,,,,,,,1,1.056,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KRAMA,,,0,39,39,41,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKURA,Arm,arm,0,40,40,77,0,0,0,0,,,,,,,,,,,7,2.568,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKURA,Ben,ben,0,40,40,77,0,1,1,1,,,,,,,,,,,1,1.031,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKURA,,,0,40,40,77,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RIVA,Arm,arm,0,41,41,63,0,0,0,0,,,,,,,,,,,7,1.854,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RIVA,Ben,ben,0,41,41,63,0,1,1,1,,,,,,,,,,,1,0.431,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RIVA,,,0,41,41,63,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STRÖVA,Arm,arm,0,42,42,153,0,0,0,0,,,,,,,,,,,1,2.172,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STRÖVA,Ben,ben,0,42,42,153,0,1,1,1,,,,,,,,,,,7,1.001,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STRÖVA,,,0,42,42,153,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
HALTA,Arm,arm,0,43,43,110,0,0,0,0,,,,,,,,,,,1,1.753,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
HALTA,Ben,ben,0,43,43,110,0,1,1,1,,,,,,,,,,,7,0.447,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
HALTA,,,0,43,43,110,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PUTTA,Arm,arm,0,44,44,57,0,0,0,0,,,,,,,,,,,7,2.289,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PUTTA,Ben,ben,0,44,44,57,0,1,1,1,,,,,,,,,,,1,0.531,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PUTTA,,,0,44,44,57,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLIA,Arm,arm,0,45,45,32,0,0,0,0,,,,,,,,,,,7,2.088,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLIA,Ben,ben,0,45,45,32,0,1,1,1,,,,,,,,,,,1,0.549,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLIA,,,0,45,45,32,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KRAVLA,Arm,arm,0,46,46,122,0,0,0,0,,,,,,,,,,,4,13.269,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KRAVLA,Ben,ben,0,46,46,122,0,1,1,1,,,,,,,,,,,5,2.326,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KRAVLA,,,0,46,46,122,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STÖVLA,Arm,arm,0,47,47,152,0,0,0,0,,,,,,,,,,,1,4.117,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STÖVLA,Ben,ben,0,47,47,152,0,1,1,1,,,,,,,,,,,7,0.867,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STÖVLA,,,0,47,47,152,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
LUNKA,Arm,arm,0,48,48,126,0,0,0,0,,,,,,,,,,,1,2.088,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
LUNKA,Ben,ben,0,48,48,126,0,1,1,1,,,,,,,,,,,7,1.287,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
LUNKA,,,0,48,48,126,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PADDLA,Arm,arm,0,49,49,49,0,0,0,0,,,,,,,,,,,7,5.04,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PADDLA,Ben,ben,0,49,49,49,0,1,1,1,,,,,,,,,,,1,0.984,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PADDLA,,,0,49,49,49,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
VANKA,Arm,arm,0,50,50,167,0,0,0,0,,,,,,,,,,,1,4.789,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
VANKA,Ben,ben,0,50,50,167,0,1,1,1,,,,,,,,,,,7,1.269,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
VANKA,,,0,50,50,167,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
NORPA,Arm,arm,0,51,51,46,0,0,0,0,,,,,,,,,,,7,2.372,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
NORPA,Ben,ben,0,51,51,46,0,1,1,1,,,,,,,,,,,1,1.102,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
NORPA,,,0,51,51,46,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKUMMA,Arm,arm,0,52,52,76,0,0,0,0,,,,,,,,,,,7,3.797,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKUMMA,Ben,ben,0,52,52,76,0,1,1,1,,,,,,,,,,,1,0.681,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SKUMMA,,,0,52,52,76,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RUSA,Arm,arm,0,53,53,134,0,0,0,0,,,,,,,,,,,1,2.088,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RUSA,Ben,ben,0,53,53,134,0,1,1,1,,,,,,,,,,,7,0.566,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RUSA,,,0,53,53,134,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SVASSA,Arm,arm,0,54,54,157,0,0,0,0,,,,,,,,,,,1,2.523,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SVASSA,Ben,ben,0,54,54,157,0,1,1,1,,,,,,,,,,,6,2.074,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SVASSA,,,0,54,54,157,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KILA,Arm,arm,0,55,55,115,0,0,0,0,,,,,,,,,,,1,3.531,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KILA,Ben,ben,0,55,55,115,0,1,1,1,,,,,,,,,,,6,1.085,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KILA,,,0,55,55,115,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SVAJA,Arm,arm,0,56,56,156,0,0,0,0,,,,,,,,,,,1,2.205,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SVAJA,Ben,ben,0,56,56,156,0,1,1,1,,,,,,,,,,,7,1.622,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SVAJA,,,0,56,56,156,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SPARKA,Arm,arm,0,57,57,144,0,0,0,0,,,,,,,,,,,1,5.257,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SPARKA,Ben,ben,0,57,57,144,0,1,1,1,,,,,,,,,,,7,1.068,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SPARKA,,,0,57,57,144,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KOPPLA,Arm,arm,0,58,58,40,0,0,0,0,,,,,,,,,,,7,7.907,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KOPPLA,Ben,ben,0,58,58,40,0,1,1,1,,,,,,,,,,,1,4.523,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KOPPLA,,,0,58,58,40,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
IRRA,Arm,arm,0,59,59,113,0,0,0,0,,,,,,,,,,,1,1.988,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
IRRA,Ben,ben,0,59,59,113,0,1,1,1,,,,,,,,,,,7,1.32,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
IRRA,,,0,59,59,113,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
GNUGGA,Arm,arm,0,60,60,15,0,0,0,0,,,,,,,,,,,7,3.931,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
GNUGGA,Ben,ben,0,60,60,15,0,1,1,1,,,,,,,,,,,1,0.699,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
GNUGGA,,,0,60,60,15,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
FLANERA,Arm,arm,0,61,61,104,0,0,0,0,,,,,,,,,,,1,2.104,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
FLANERA,Ben,ben,0,61,61,104,0,1,1,1,,,,,,,,,,,7,1.705,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
FLANERA,,,0,61,61,104,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
NYPA,Arm,arm,0,62,62,47,0,0,0,0,,,,,,,,,,,7,2.07,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
NYPA,Ben,ben,0,62,62,47,0,1,1,1,,,,,,,,,,,1,1.133,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
NYPA,,,0,62,62,47,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KARVA,Arm,arm,0,63,63,26,0,0,0,0,,,,,,,,,,,7,2.239,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KARVA,Ben,ben,0,63,63,26,0,1,1,1,,,,,,,,,,,1,0.867,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KARVA,,,0,63,63,26,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PETA,Arm,arm,0,64,64,50,0,0,0,0,,,,,,,,,,,7,1.77,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PETA,Ben,ben,0,64,64,50,0,1,1,1,,,,,,,,,,,1,0.7,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PETA,,,0,64,64,50,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RISTA,Arm,arm,0,65,65,62,0,0,0,0,,,,,,,,,,,7,2.122,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RISTA,Ben,ben,0,65,65,62,0,1,1,1,,,,,,,,,,,1,4.825,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RISTA,,,0,65,65,62,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STUDSA,Arm,arm,0,66,66,155,0,0,0,0,,,,,,,,,,,1,8.445,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STUDSA,Ben,ben,0,66,66,155,0,1,1,1,,,,,,,,,,,7,2.426,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
