word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
MARCH,,,0,78,78,80,,,,,,,return,2.65014814671,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
FLEE,Arm,arm,0,79,79,66,0,0,0,0,1,3.414,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
FLEE,Leg,leg,0,79,79,66,0,1,1,1,7,0.516,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
FLEE,,,0,79,79,66,,,,,,,return,1.1911181511,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
POKE,Arm,arm,0,80,80,31,0,0,0,0,7,3.381,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
POKE,Leg,leg,0,80,80,31,0,1,1,1,1,1.875,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
POKE,,,0,80,80,31,,,,,,,return,2.86833334848,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRUDGE,Arm,arm,0,81,81,122,0,0,0,0,4,2.305,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRUDGE,Leg,leg,0,81,81,122,0,1,1,1,4,0.412,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRUDGE,,,0,81,81,122,,,,,,,return,0.788391809041,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
PLUCK,Arm,arm,0,82,82,30,0,0,0,0,6,4.957,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
PLUCK,Leg,leg,0,82,82,30,0,1,1,1,2,1.304,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
PLUCK,,,0,82,82,30,,,,,,,return,1.00665208182,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
DASH,Arm,arm,0,83,83,65,0,0,0,0,7,6.651,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
