word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
LINKA,Arm,arm,0,76,76,124,0,0,0,0,4,3.598,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
LINKA,Ben,ben,0,76,76,124,0,1,1,1,4,0.599,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
LINKA,,,0,76,76,124,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
GNUGGA,Arm,arm,0,77,77,15,0,0,0,0,7,3.311,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
GNUGGA,Ben,ben,0,77,77,15,0,1,1,1,3,1.838,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
GNUGGA,,,0,77,77,15,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BULTA,Arm,arm,0,78,78,4,0,0,0,0,4,5.877,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BULTA,Ben,ben,0,78,78,4,0,1,1,1,4,0.513,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BULTA,,,0,78,78,4,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
VINGLA,Arm,arm,0,79,79,168,0,0,0,0,1,3.027,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
VINGLA,Ben,ben,0,79,79,168,0,1,1,1,7,0.582,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
VINGLA,,,0,79,79,168,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BORSTA,Arm,arm,0,80,80,3,0,0,0,0,7,3.162,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BORSTA,Ben,ben,0,80,80,3,0,1,1,1,1,0.649,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BORSTA,,,0,80,80,3,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKOPA,Arm,arm,0,81,81,73,0,0,0,0,7,2.609,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKOPA,Ben,ben,0,81,81,73,0,1,1,1,1,0.683,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SKOPA,,,0,81,81,73,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
HALTA,Arm,arm,0,82,82,110,0,0,0,0,1,2.491,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
HALTA,Ben,ben,0,82,82,110,0,1,1,1,7,0.482,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
HALTA,,,0,82,82,110,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
LÖPA,Arm,arm,0,83,83,125,0,0,0,0,1,2.807,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
LÖPA,Ben,ben,0,83,83,125,0,1,1,1,7,0.464,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
LÖPA,,,0,83,83,125,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLITA,Arm,arm,0,84,84,82,0,0,0,0,7,5.409,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLITA,Ben,ben,0,84,84,82,0,1,1,1,1,0.549,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
SLITA,,,0,84,84,82,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BANKA,Arm,arm,0,85,85,1,0,0,0,0,7,2.491,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BANKA,Ben,ben,0,85,85,1,0,1,1,1,2,0.884,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
BANKA,,,0,85,85,1,,,,,,,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
GRIPA,Arm,arm,0,86,86,19,0,0,0,0,7,2.29,,,2018_Sep_17_1307,59.604050633,verb_norming_L1-swe_no_translation,001,810,
