expName;date;participant;trial;resp_time;our_transl;verb;ppt_translation;score;comments
verb_norming_oral_input;2018_Jun_14_1448;906;83;2.88499437165;binda;BIND;binda;1;
verb_norming_oral_input;2018_Jun_14_1448;906;84;2.31472296624;gripa;GRASP;greppa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;85;2.85156406501;vandra;WANDER;irra;1;
verb_norming_oral_input;2018_Jun_14_1448;906;86;2.76772001832;krypa;CREEP;krypa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;87;2.14714985004;polera;POLISH;polera;1;
verb_norming_oral_input;2018_Jun_14_1448;906;88;2.31471387869;ströva;RAMBLE;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;89;5.6904928886;röra sig långsamt framåt;INCH;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;90;2.21430324026;dansa;DANCE;dansa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;91;2.09681631743;fånga;CATCH;fånga;1;
verb_norming_oral_input;2018_Jun_14_1448;906;92;3.38802664784;rycka;TUG;dra;1;
verb_norming_oral_input;2018_Jun_14_1448;906;93;2.58318322424;tvinna;TWINE;nysta;-99;unsure of correctness
verb_norming_oral_input;2018_Jun_14_1448;906;94;2.21410608008;nypa;PINCH;nypa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;95;1.71101690797;gripa tag i;CLUTCH;koppla;-99;unsure of correctness
verb_norming_oral_input;2018_Jun_14_1448;906;96;1.87878086258;knacka;KNOCK;knacka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;97;1.77816002532;rycka till sig;SNATCH;ta;-99;too vague?
verb_norming_oral_input;2018_Jun_14_1448;906;98;23.764989014;kråma sig;PRANCE;svassa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;99;1.8117076798;skrubba;SCRUB;skrubba;1;
verb_norming_oral_input;2018_Jun_14_1448;906;100;3.4720378263;gripa tag i;GRAB;ta tag i;1;
verb_norming_oral_input;2018_Jun_14_1448;906;101;3.63989621235;vingla;WOBBLE;vingla;1;
verb_norming_oral_input;2018_Jun_14_1448;906;102;3.22045353164;fly;FLEE;fly;1;
verb_norming_oral_input;2018_Jun_14_1448;906;103;16.87201894;trava;TROT;strutta;0;
verb_norming_oral_input;2018_Jun_14_1448;906;104;1.49287832925;klämma;SQUEEZE;klämma;1;
verb_norming_oral_input;2018_Jun_14_1448;906;105;5.88702840095;fånga;SEIZE;ta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;106;7.52938259625;nypa;NIP;knycka;0;
verb_norming_oral_input;2018_Jun_14_1448;906;107;32.2511615263;åka skridskor;SKATE;skejta;-99;this is correct as well, but not target. Foot-related though.
verb_norming_oral_input;2018_Jun_14_1448;906;108;2.16391834329;skumma;SKIM;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;109;1.59372872576;hacka;HACK;hacka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;110;2.63348198711;gå fram och tillbaka;PACE;fart;0;noun
verb_norming_oral_input;2018_Jun_14_1448;906;111;1.8620072329;stampa;STAMP;stampa;1;
