"expName","date","participant","trial","resp_time","our_transl","verb","ppt_translation","score"
"verb_norming_oral_input","2018_Jun_13_1344",905,90,2.3823379852,"slå in","WRAP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,91,0.79020346849,"hacka","CHOP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,92,1.35921550623,"plocka","PLUCK","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,93,3.5562883921,"vingla","SWAY","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,94,2.26459398559,"röra sig långsamt framåt","INCH","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,95,1.2925837934,"lunka","PLOD","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,96,2.49969122352,"torka","WIPE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,97,11.1869237605,"gå fram och tillbaka","PACE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,98,13.4677321661,"fila","FILE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,99,4.39490042699,"skyffla","SCOOP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,100,11.4218819206,"glida","SLIDE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,101,1.32575938667,"släpa sig fram","TRUDGE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,102,0.621202177676,"gräva","DELVE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,103,5.33387054778,"klicka","CLICK","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,104,1.5084148012,"skutta","HOP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,105,0.638050745232,"hoppa","JUMP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,106,0.990294185163,"tvätta","WASH","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,107,2.03022730137,"nypa","NIP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,108,0.940062592923,"piska","WHIP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,109,4.3613739783,"klappa","CLAP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,110,0.923308456051,"smyga","SNEAK","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,111,2.46616516993,"traska","TRAIPSE","",""
