expName;date;participant;trial;resp_time;our_transl;verb;ppt_translation;score;;
verb_norming_oral_input;2018_Jun_13_1344;905;81;1.392756969;lyfta;LIFT;lyfta;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;82;1.30855838325;vandra;WANDER;vandra;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;83;16.1512305424;kravla;CRAWL;kräla, krålsimma;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;84;0.973534911893;vika ihop;FOLD;vika;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;85;1.34208404173;kliva;STRIDE;I'm not sure of this one;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;86;1.07409292216;fläta;BRAID;fläta;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;87;1.42634465935;slå;PUNCH;slå;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;88;1.34243884823;ragla;STAGGER;I'm not sure of this one either;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;89;0.822492835714;klättra;CLIMB;klättra;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;90;2.3823379852;slå in;WRAP;vira in, vika;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;91;0.79020346849;hacka;CHOP;hacka;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;92;1.35921550623;plocka;PLUCK;plocka;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;93;3.5562883921;vingla;SWAY;vagga fram och tillbaka långsamt;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;94;2.26459398559;röra sig långsamt framåt;INCH;I don't know this word;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;95;1.2925837934;lunka;PLOD;I don't know this word;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;96;2.49969122352;torka;WIPE;torka, torka av;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;97;11.1869237605;vanka av och an;PACE;gå fram och tillbaka;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;98;13.4677321661;fila;FILE;att lägga något i ett fack för att spara det;;;
verb_norming_oral_input;2018_Jun_13_1344;905;99;4.39490042699;skyffla;SCOOP;skopa;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;100;11.4218819206;glida;SLIDE;glida;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;101;1.32575938667;släpa sig fram;TRUDGE;I don't know this word;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;102;0.621202177676;gräva;DELVE;I don't know;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;103;5.33387054778;klicka;CLICK;klicka;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;104;1.5084148012;skutta;HOP;hoppa;;;
verb_norming_oral_input;2018_Jun_13_1344;905;105;0.638050745232;hoppa;JUMP;hoppa;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;106;0.990294185163;tvätta;WASH;tvätta;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;107;2.03022730137;nypa;NIP;I don't know;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;108;0.940062592923;piska;WHIP;piska;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;109;4.3613739783;klappa;CLAP;slå ihop sina händer flera ggr så det blir som en applåd;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;110;0.923308456051;smyga;SNEAK;smyga;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;111;2.46616516993;traska;TRAIPSE;I don't know this word;0;;
