"verb","type","Arm","Leg","bias","bias_absol"
"poke","arm",6.88235294117647,1.70588235294118,5.17647058823529,5.17647058823529
"polish","arm",6.76470588235294,1.11764705882353,5.64705882352941,5.64705882352941
"prance","leg",1.58823529411765,5.76470588235294,-4.17647058823529,4.17647058823529
"pull","arm",6.94117647058824,1.88235294117647,5.05882352941176,5.05882352941176
"punch","arm",7,1.23529411764706,5.76470588235294,5.76470588235294
"push","arm",6.76470588235294,2.41176470588235,4.35294117647059,4.35294117647059
"ramble","leg",1.82352941176471,3.82352941176471,-2,2
"roam","leg",1.11764705882353,6.35294117647059,-5.23529411764706,5.23529411764706
"roll","leg",3.41176470588235,3.58823529411765,-0.176470588235294,0.176470588235294
"rub","arm",6.82352941176471,1.35294117647059,5.47058823529412,5.47058823529412
"run","leg",1.41176470588235,7,-5.58823529411765,5.58823529411765
"rush","leg",1.17647058823529,6.47058823529412,-5.29411764705882,5.29411764705882
"scoop","arm",6.64705882352941,1.23529411764706,5.41176470588235,5.41176470588235
"scrape","arm",6.41176470588235,1.70588235294118,4.70588235294118,4.70588235294118
"scratch","arm",6.88235294117647,1.23529411764706,5.64705882352941,5.64705882352941
"scrub","arm",6.64705882352941,1.58823529411765,5.05882352941177,5.05882352941177
"scuff","leg",4.76470588235294,3.11764705882353,1.64705882352941,-1.64705882352941
"seize","arm",5.76470588235294,1.47058823529412,4.29411764705882,4.29411764705882
"shake","arm",6.88235294117647,2.17647058823529,4.70588235294118,4.70588235294118
"skate","leg",1.41176470588235,6.70588235294118,-5.29411764705882,5.29411764705882
"skim","arm",5.17647058823529,1.88235294117647,3.29411764705882,3.29411764705882
"skip","leg",1.41176470588235,6.17647058823529,-4.76470588235294,4.76470588235294
"slap","arm",6.58823529411765,1.35294117647059,5.23529411764706,5.23529411764706
"slide","leg",2.05882352941176,5.47058823529412,-3.41176470588235,3.41176470588235
"slip","leg",2.17647058823529,6.47058823529412,-4.29411764705882,4.29411764705882
"slither","leg",3.35294117647059,4.47058823529412,-1.11764705882353,1.11764705882353
"snatch","arm",6.64705882352941,1.17647058823529,5.47058823529412,5.47058823529412
"sneak","leg",2.05882352941176,6.35294117647059,-4.29411764705882,4.29411764705882
"sprint","leg",1.47058823529412,7,-5.52941176470588,5.52941176470588
"squeeze","arm",6.82352941176471,2.35294117647059,4.47058823529412,4.47058823529412
"stab","arm",6.76470588235294,1,5.76470588235294,5.76470588235294
"stagger","leg",2.23529411764706,5.76470588235294,-3.52941176470588,3.52941176470588
"stamp","leg",3.05882352941176,4.11764705882353,-1.05882352941176,1.05882352941176
"step","leg",1,7,-6,6
"stir","arm",6.70588235294118,1,5.70588235294118,5.70588235294118
"stomp","leg",1.05882352941176,7,-5.94117647058824,5.94117647058824
"stray","leg",1.70588235294118,6.17647058823529,-4.47058823529412,4.47058823529412
"stride","leg",1.58823529411765,6.11764705882353,-4.52941176470588,4.52941176470588
"stroll","leg",1.11764705882353,6.94117647058824,-5.82352941176471,5.82352941176471
"strut","leg",1.17647058823529,6.70588235294118,-5.52941176470588,5.52941176470588
"stumble","leg",1,6.88235294117647,-5.88235294117647,5.88235294117647
"sway","leg",2.35294117647059,5.70588235294118,-3.35294117647059,3.35294117647059
"switch","arm",5.52941176470588,2.17647058823529,3.35294117647059,3.35294117647059
"throw","arm",7,1.05882352941176,5.94117647058824,5.94117647058824
"tiptoe","leg",1.05882352941176,7,-5.94117647058824,5.94117647058824
"toss","arm",6.76470588235294,1.17647058823529,5.58823529411765,5.58823529411765
"traipse","leg",2.70588235294118,5,-2.29411764705882,2.29411764705882
"tread","leg",2.11764705882353,5.94117647058824,-3.82352941176471,3.82352941176471
"trip","leg",1.11764705882353,6.88235294117647,-5.76470588235294,5.76470588235294
"trot","leg",1.11764705882353,6.58823529411765,-5.47058823529412,5.47058823529412
"trudge","leg",1.29411764705882,6.23529411764706,-4.94117647058824,4.94117647058824
"tug","arm",6.17647058823529,2.11764705882353,4.05882352941176,4.05882352941176
"twine","arm",5.82352941176471,1.94117647058824,3.88235294117647,3.88235294117647
"wade","leg",2.23529411764706,6.05882352941176,-3.82352941176471,3.82352941176471
"walk","leg",1.17647058823529,7,-5.82352941176471,5.82352941176471
"wander","leg",1.23529411764706,6.82352941176471,-5.58823529411765,5.58823529411765
"wash","arm",6.82352941176471,1.23529411764706,5.58823529411765,5.58823529411765
"whip","arm",6.64705882352941,1,5.64705882352941,5.64705882352941
"wipe","arm",6.94117647058824,1,5.94117647058824,5.94117647058824
"wobble","leg",1.88235294117647,6.29411764705882,-4.41176470588235,4.41176470588235
"wrap","arm",6.41176470588235,2.05882352941176,4.35294117647059,4.35294117647059
