"expName","date","participant","trial","verb","translation","Score","verb_category","cognate_bin","cognate","in_orig"
"verb_norming_oral_input","2018_Sep_07_1244",800,75,"stroll","strosa",1,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,76,"plod","plöja, ploga",0,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,77,"skip","hoppa över, hoppa",1,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,78,"clap","klappa, applådera",1,"arm",1,"klappa","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,79,"catch","fånga",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,80,"flee","fly",1,"leg",1,"fly","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,81,"stride","promenera, gå, strosa",0.5,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,82,"bash","slå",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,83,"wash","tvätta",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,84,"clean","städa, rengöra",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,85,"rub","gnugga",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,86,"scrape","skrapa, rispa",1,"arm",1,"skrapa","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,87,"hack","hacka",1,"arm",1,"hacka","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,88,"trample","vet inte",0,"leg",1,"trampa","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,89,"march","marschera",1,"leg",1,"marschera","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,90,"pedal","cykla, få pedalerna att snurra",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,91,"crouch","krypa ihop",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,92,"stir","röra",1,"arm",-99,"störa","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,93,"slide","glida",1,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,94,"glide","glida",1,"leg",1,"glida","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,95,"trudge","vet inte",0,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,96,"trip","snubbla, ramla",1,"leg",1,"trippa","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,97,"squat","gå ner på huk, huka",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,98,"whip","piska, vispa",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,99,"inch","gå små små steg, smyga",1,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,100,"hobble","ingen aning",0,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,101,"seize","fånga",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,102,"file","ordna, arkivera",1,"arm",1,"fila","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,103,"slap","slå till",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,104,"shamble","vet inte",0,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,105,"waddle","vet inte",0,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,106,"totter","vet inte",0,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,107,"prance","svassa, gå med lite hoppiga steg, kråma sig",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,108,"snatch","sno till sig",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,109,"lumber","lufsa",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,110,"stamp","stampa",1,"leg",1,"stampa","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,111,"hug","kramas",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,112,"dash","slå",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,113,"grovel","vet inte",0,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,114,"dig","gräva",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,115,"peel","skala",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,116,"tramp","stå på, trampa på",1,"leg",1,"trampa","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,117,"grab","gripa tag i, ta tag i",1,"arm",1,"grabba","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,118,"row","ro",1,"arm",1,"ro","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,119,"kneel","gå ner på knä, knäböja",1,"leg",1,"knäa","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,120,"scrub","skrubba",1,"arm",1,"skrubba","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,121,"poke","peta",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,122,"stray","vandra iväg, strosa",1,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,123,"cut","klippa, skära",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,124,"polish","polera, torka av",1,"arm",1,"polera","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,125,"bounce","studsa",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,126,"tug","vet inte",0,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,127,"cycle","cykla",1,"leg",1,"cykla","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,128,"sign","skriva under, signera",1,"arm",1,"signera","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,1,"step","gå",1,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,2,"pat","klappa",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,3,"whip","piska",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,4,"click","klicka",1,"arm",1,"klicka","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,5,"run","springa",1,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,6,"totter","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,7,"dance","dansa",1,"leg",1,"dansa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,8,"stand","stå",1,"leg",1,"stå","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,9,"leap","jag vet inte",0,"leg",-99,"löpa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,10,"kick","sparka",1,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,11,"plod","jag vet inte",0,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,12,"sign","signera",1,"arm",1,"signera","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,13,"wash","tvätta",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,14,"shake","skaka",1,"arm",1,"skaka","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,15,"march","marschera",1,"leg",1,"marschera","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,16,"tiptoe","smyga",1,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,17,"throw","kasta",1,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,18,"lift","lyfta",1,"arm",1,"lyfta","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,19,"skate","skejta",1,"leg",1,"skejta","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,20,"wade","vada",1,"leg",1,"vada","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,21,"trip","snubbla",1,"leg",1,"trippa","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,22,"roam","ropa/skrika",0,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,23,"wobble","snubbla",1,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,24,"stab","hugga",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,25,"ramble","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,26,"wrap","avsluta",0,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,27,"hobble","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,28,"twine","jag vet inte",0,"arm",1,"tvinna","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,29,"rub","gnugga",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,30,"pull","dra",1,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,31,"pace","jag vet inte",0,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,32,"file","jag vet inte",0,"arm",1,"fila","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,33,"carve","karva",1,"arm",1,"karva","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,34,"bash","jag vet inte",0,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,35,"gesture","gestikulera",1,"arm",1,"gestikulera","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,36,"hug","krama",1,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,37,"walk","gå",1,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,38,"cut","klippa",1,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,39,"stray","strosa",1,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,40,"stride","jag vet inte",0,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,41,"grasp","sträcka sig, grabba tag",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,42,"flee","fly",1,"leg",1,"fly","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,43,"trudge","jag vet inte",0,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,44,"tramp","jag vet inte",0,"leg",1,"trampa","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,45,"peel","skala",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,46,"squeeze","pressa",1,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,47,"trample","trampa",1,"leg",1,"trampa","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,48,"saunter","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,49,"stamp","stampa",1,"leg",1,"stampa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,50,"tug","jag vet inte",0,"arm",0,"","yes"
