"expName","date","participant","trial","verb","category","rated_category","rating","verb_normed"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,59,"wrap","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,60,"gesture","arm","Arm",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,60,"gesture","arm","Leg",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,61,"scoop","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,61,"scoop","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,62,"run","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,62,"run","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,63,"grasp","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,63,"grasp","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,64,"wobble","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,64,"wobble","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,65,"hike","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,65,"hike","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,66,"strut","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,66,"strut","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,67,"punch","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,67,"punch","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,68,"pull","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,68,"pull","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,69,"walk","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,69,"walk","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,70,"pinch","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,70,"pinch","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,71,"grate","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,71,"grate","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,72,"stomp","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,72,"stomp","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,73,"mount","leg","Arm",1,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,73,"mount","leg","Leg",7,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,74,"stagger","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,74,"stagger","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,75,"stroll","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,75,"stroll","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,76,"plod","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,76,"plod","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,77,"skip","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,77,"skip","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,78,"clap","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,78,"clap","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,79,"catch","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,79,"catch","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,80,"flee","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,80,"flee","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,81,"stride","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,81,"stride","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,82,"bash","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,82,"bash","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,83,"wash","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,83,"wash","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,84,"clean","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,84,"clean","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,85,"rub","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,85,"rub","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,86,"scrape","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,86,"scrape","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,87,"hack","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,87,"hack","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,88,"trample","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,88,"trample","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,89,"march","leg","Arm",1,"june+sept"
