"expName","date","participant","itemID","item","correct_resp","resp","correct","RT","type"
"lextale","2018_Sep_10_1331",802,37,"crumper","n","n",1,1.49297801421,"nonword"
"lextale","2018_Sep_10_1331",802,38,"upkeep","y","y",1,1.04026025442,"word"
"lextale","2018_Sep_10_1331",802,39,"majestic","y","y",1,0.622403105921,"word"
"lextale","2018_Sep_10_1331",802,40,"magrity","n","n",1,1.22459883962,"nonword"
"lextale","2018_Sep_10_1331",802,41,"nourishment","y","y",1,0.939484169317,"word"
"lextale","2018_Sep_10_1331",802,42,"abergy","n","n",1,2.78434261538,"nonword"
"lextale","2018_Sep_10_1331",802,43,"proom","n","y",0,0.755013615668,"nonword"
"lextale","2018_Sep_10_1331",802,44,"turmoil","y","y",1,0.973074880636,"word"
"lextale","2018_Sep_10_1331",802,45,"carbohydrate","y","y",1,0.989850678096,"word"
"lextale","2018_Sep_10_1331",802,46,"scholar","y","y",1,0.939443077346,"word"
"lextale","2018_Sep_10_1331",802,47,"turtle","y","y",1,0.620774836541,"word"
"lextale","2018_Sep_10_1331",802,48,"fellick","n","n",1,0.905906496799,"nonword"
"lextale","2018_Sep_10_1331",802,49,"destription","n","n",1,2.78434143003,"nonword"
"lextale","2018_Sep_10_1331",802,50,"cylinder","y","y",1,0.754991489221,"word"
"lextale","2018_Sep_10_1331",802,51,"censorship","y","y",1,0.939481008398,"word"
"lextale","2018_Sep_10_1331",802,52,"celestial","y","y",1,0.855669190663,"word"
"lextale","2018_Sep_10_1331",802,53,"rascal","y","y",1,0.87240547661,"word"
"lextale","2018_Sep_10_1331",802,54,"purrage","n","n",1,1.89542804401,"nonword"
"lextale","2018_Sep_10_1331",802,55,"pulsh","n","n",1,1.20789574335,"nonword"
"lextale","2018_Sep_10_1331",802,56,"muddy","y","y",1,0.822044894561,"word"
"lextale","2018_Sep_10_1331",802,57,"quirty","n","y",0,2.18053046575,"nonword"
"lextale","2018_Sep_10_1331",802,58,"pudour","n","n",1,1.02326121692,"nonword"
"lextale","2018_Sep_10_1331",802,59,"listless","y","n",0,9.09031541249,"word"
"lextale","2018_Sep_10_1331",802,60,"wrought","y","y",1,1.02336947846,"word"
"lextale","2018_Sep_10_1457",803,0,"platery","n","n",1,16.9725327827,"nonword"
"lextale","2018_Sep_10_1457",803,0,"denial","y","y",1,20.5450308743,"word"
"lextale","2018_Sep_10_1457",803,0,"generic","y","n",0,9.67724626893,"word"
"lextale","2018_Sep_10_1457",803,1,"mensible","n","n",1,5.35033869267,"nonword"
"lextale","2018_Sep_10_1457",803,2,"scornful","y","n",0,3.47189901806,"word"
"lextale","2018_Sep_10_1457",803,3,"stoutly","y","y",1,3.0358883057,"word"
"lextale","2018_Sep_10_1457",803,4,"ablaze","y","y",1,2.91843638726,"word"
"lextale","2018_Sep_10_1457",803,5,"kermshaw","n","n",1,3.77377881772,"nonword"
